0 0.4820207 -6.224826
0.1 0.4770066 -6.217299
0.2 0.4806022 -6.222036
0.3 0.468543 -6.210368
0.4 0.480155 -6.221753
0.5 0.4732987 -6.215679
0.6 0.4846453 -6.226404
0.7 0.4763578 -6.218737
0.8 0.469687 -6.212294
0.9 0.4790394 -6.22034
1 0.4816195 -6.222725
1.1 0.482229 -6.224019
1.2 0.4848528 -6.227883
1.3 0.4815926 -6.225242
1.4 0.4815389 -6.22284
1.5 0.4776429 -6.220217
1.6 0.4815805 -6.224873
1.7 0.4742479 -6.21591
1.8 0.4678916 -6.211087
1.9 0.4826407 -6.223683
2 0.4801012 -6.221666
2.1 0.4767204 -6.218904
2.2 0.4796292 -6.222012
2.3 0.4792995 -6.221814
2.4 0.4754565 -6.218428
2.5 0.4668875 -6.208879
2.6 0.4748359 -6.217156
2.7 0.4757595 -6.217882
2.8 0.4781592 -6.220898
2.9 0.4715727 -6.214116
3 0.4894268 -6.230308
3.1 0.4831583 -6.224886
3.2 0.4794675 -6.22142
3.3 0.479459 -6.221249
3.4 0.479876 -6.223298
3.5 0.4767408 -6.219999
3.6 0.4833609 -6.226586
3.7 0.4737652 -6.216433
3.8 0.4820929 -6.224861
3.9 0.4788742 -6.221446
4 0.4735154 -6.217196
4.1 0.4794106 -6.222372
4.2 0.471261 -6.212789
4.3 0.4750655 -6.219172
4.4 0.4837181 -6.225474
4.5 0.477872 -6.22002
4.6 0.4787146 -6.221579
4.7 0.4842302 -6.227588
4.8 0.4736707 -6.216113
4.9 0.4853505 -6.226195
5 0.4800403 -6.220493
5.1 0.4776558 -6.219348
5.2 0.487089 -6.228718
5.3 0.4689405 -6.210926
5.4 0.4774105 -6.219724
5.5 0.4726763 -6.215481
5.6 0.4737196 -6.214827
5.7 0.4761198 -6.218727
5.8 0.4804028 -6.224189
5.9 0.4734377 -6.215919
6 0.4744245 -6.214296
6.1 0.4742876 -6.216085
6.2 0.4710537 -6.214319
6.3 0.4742663 -6.21613
6.4 0.4814585 -6.22352
6.5 0.4857008 -6.227339
6.6 0.4867507 -6.229138
6.7 0.4760315 -6.218973
6.8 0.4810353 -6.222997
6.9 0.4817932 -6.225617
7 0.4805333 -6.22524
7.1 0.4830778 -6.225206
7.2 0.4731726 -6.216541
7.3 0.480344 -6.221786
7.4 0.478115 -6.21861
7.5 0.4783514 -6.220117
7.6 0.4737178 -6.215714
7.7 0.4823274 -6.224032
7.8 0.4805503 -6.223691
7.9 0.4682963 -6.210521
8 0.478872 -6.220086
8.1 0.4859693 -6.226889
8.2 0.4754325 -6.217429
8.3 0.4768225 -6.217025
8.4 0.4781337 -6.218271
8.5 0.4742543 -6.215144
8.6 0.4719384 -6.212893
8.7 0.4800859 -6.221726
8.8 0.4853082 -6.226819
8.9 0.4727412 -6.216665
9 0.4718105 -6.214852
9.1 0.4844116 -6.226672
9.2 0.4729477 -6.213903
9.3 0.4778905 -6.22015
9.4 0.4789081 -6.220972
9.5 0.4759122 -6.218827
9.6 0.4729782 -6.21625
9.7 0.4863965 -6.2298
9.8 0.4806179 -6.2234
9.9 0.4805919 -6.222265
10 0.4760817 -6.217851
