ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
501
ITEM: BOX BOUNDS pp pp pp
-3.3572466328349999e+00 3.3572466328349999e+00
-3.3572466328349999e+00 3.3572466328349999e+00
-3.3572466328349999e+00 3.3572466328349999e+00
ITEM: ATOMS id f_aveg_velocity_dist[1] f_aveg_velocity_dist[2] f_aveg_velocity_dist[3]
364 -0.29371 1.33727 0.034207
404 1.73235 -0.221727 1.34978
92 -0.718797 -0.893889 -0.147652
308 -0.861906 0.671278 0.352748
276 0.295433 0.553058 0.098099
300 -1.46317 -0.830735 0.386421
356 -0.14292 -0.863627 0.389035
244 -0.809106 -1.98542 0.968548
12 0.390156 0.338994 1.15442
28 0.551068 -0.48684 0.0738648
469 -0.011625 0.108629 -1.03326
269 -0.21766 -0.790566 0.278888
277 0.302195 -2.00062 0.446839
293 1.74295 -0.408005 1.96832
261 0.195638 -0.660621 -0.468892
213 0.242925 -0.987136 -0.0881561
150 0.267049 -0.637512 -0.473861
126 0.124919 0.674637 -0.0247064
446 0.252577 -0.544329 -0.0251713
310 0.0592551 0.802022 0.865003
78 0.491894 -0.207283 -0.0228506
70 0.011493 1.389 0.602705
230 -0.0345517 -0.166577 -0.255377
198 -0.427331 -0.181505 0.677446
375 0.904217 -0.213812 -0.811031
327 -0.831477 -0.0428391 -0.904391
71 -0.34226 -0.024386 -0.0755574
279 -0.657032 0.398889 1.53348
247 0.23326 -0.783794 0.817076
183 -1.10174 0.888642 -0.382885
459 -0.942503 0.787612 -0.685115
427 0.00756364 0.078208 -0.38131
339 -0.49292 -0.125957 -0.000163818
123 -0.84865 0.280298 -0.680451
291 -0.350315 1.16973 -0.597656
59 0.234004 0.832489 0.535795
91 -0.941259 -0.308054 0.348371
83 0.735341 -0.372894 -0.677594
267 -0.263744 -0.984 -0.636015
464 -1.32316 -0.922927 -0.427561
488 -0.550422 0.174957 0.144163
208 0.196401 0.373087 0.651177
192 0.390874 -1.08374 -0.319762
328 0.712364 0.979302 -0.608559
336 -0.939105 -0.20507 0.513304
489 -0.629942 0.279461 0.721972
145 0.453927 0.181254 -0.701005
313 -0.259363 -0.23706 -0.36055
337 0.444481 0.227649 -1.12897
345 0.933795 0.389468 -0.0549752
281 0.156432 -0.0065009 0.55079
305 -0.227625 0.0468239 -0.056282
298 -1.33898 1.32405 -0.46514
138 -0.830245 -0.0651942 0.135953
146 -0.0779375 0.940202 -0.0584669
450 -0.961394 -0.307568 0.00854137
330 -0.450109 -0.702017 -0.43365
346 -0.330933 -0.0108801 0.419451
26 0.964411 0.288334 0.0200398
282 -0.426224 -0.269172 -0.926425
74 0.624875 -0.225963 0.0918605
156 0.294888 -0.155953 0.269493
436 0.0143869 0.245956 0.569158
84 0.71618 0.465643 -0.00997072
68 -0.538679 0.558621 0.0824654
60 -0.305142 0.221617 -0.230018
52 0.400638 -0.21539 -0.122084
268 -0.625838 -0.586196 0.37926
461 -0.0204099 -0.000125826 -1.10417
501 0.160601 0.162864 -0.376512
453 -0.781675 0.142639 0.194286
125 0.583148 -0.48412 -0.299631
317 0.45381 0.618008 1.00199
341 0.705605 0.519043 -0.748377
77 -0.291267 -0.54745 0.126295
237 0.129515 -0.279005 0.13466
5 -0.726716 -0.845802 -0.245543
462 -0.135769 -1.331 -0.0111139
494 0.480819 0.119175 0.10397
430 0.70747 1.21007 -0.0802608
94 0.17792 -0.168376 0.265226
62 -0.333545 0.0852662 -0.467454
302 0.936185 0.294622 -0.239658
246 0.0276395 -0.351129 -0.273221
254 -0.625587 0.31242 -0.611352
262 0.43715 0.166416 -0.639894
447 0.297768 -0.24186 -0.0619124
127 0.526135 0.451104 -0.675214
271 0.371726 1.07367 0.871645
63 0.386228 -0.401292 0.560915
303 0.858309 -0.228379 -0.317717
124 -0.41166 -0.873338 0.345131
396 -0.453362 0.22826 0.529104
236 -1.09642 0.875006 1.59877
180 -0.0274355 -0.35461 0.273305
212 -0.282201 -1.10767 -0.37397
100 0.335396 -0.287489 -0.0506672
108 0.559273 0.100666 -0.536332
472 -1.09772 -0.147777 -1.49981
456 0.853856 0.477569 0.291878
128 0.492954 -0.204312 -0.104314
416 0.0928103 0.072467 -1.52084
368 0.0911222 -0.816159 0.557569
96 -0.609717 -0.216081 0.173562
168 1.49863 0.944106 -0.578503
16 -0.0818046 -0.318805 -0.0887196
256 -0.565753 0.417643 0.616671
497 0.285295 0.890465 0.436188
457 0.0375732 0.232225 0.723256
353 -0.567169 0.532026 0.515851
377 -0.596209 0.267227 1.39243
217 0.574827 1.2078 -0.130518
241 -0.887024 -1.09691 0.424497
122 -0.355673 0.0471068 -0.400302
402 0.0624875 -0.346975 0.268213
114 0.113451 0.060398 -0.098603
354 -0.0175772 -1.11961 0.287115
362 -1.08633 1.61967 0.829711
378 0.30104 -0.357791 0.608059
10 -0.436173 0.184523 -0.770534
170 1.07395 -1.1466 0.0473164
107 0.471707 -0.21393 -0.381497
355 -0.984438 -0.112863 -0.0997445
371 -0.0426695 0.39276 -0.0421991
379 1.72709 1.00687 -0.1735
211 -0.694471 0.939966 0.371829
243 1.40889 1.2191 0.051561
35 0.0732661 -0.757376 0.0535476
11 -0.504301 -0.899524 0.890553
27 -0.0105013 0.336936 0.272827
203 -0.239088 0.376789 0.279213
101 0.0937009 -0.331599 -0.979075
349 -0.277327 0.054712 0.71066
365 -0.195853 -0.883328 -0.0350918
373 -0.448943 0.241664 0.478179
253 0.117435 -1.10217 -0.698453
21 -0.36873 -0.552698 0.338889
181 0.20747 -1.22567 -0.483661
189 0.123112 0.124103 0.0180612
197 -0.664137 0.524658 1.0305
205 -1.14104 0.682627 -0.453125
398 0.0182099 1.08377 0.391679
406 0.324337 -0.498733 -0.208545
110 -0.377202 1.09869 0.353295
358 -1.30937 -1.13669 0.271661
38 -0.191245 -1.18412 -0.394729
22 0.88951 -0.161252 -0.117508
30 -0.166637 0.858806 0.138306
206 0.755168 -0.156978 -0.35214
111 0.362299 1.40363 -0.59312
359 1.11483 -0.217609 0.21596
367 -0.66021 0.744796 -1.5009
421 -1.40608 -0.117101 -0.208571
157 0.176375 0.353756 0.00726486
405 1.09003 -1.23868 -0.243914
357 0.475372 -0.0842243 0.549142
117 -0.112708 0.0601949 0.284894
389 -1.05946 1.02276 0.0866009
309 -0.602037 -0.584842 0.611015
496 0.498977 0.137123 0.209263
104 0.583458 -0.554086 0.138745
88 0.093074 0.386657 1.00795
32 -0.982344 -0.170685 -0.583764
48 0.42262 0.642449 -0.300553
248 0.50565 -0.295025 -0.946239
33 0.380558 -0.0778017 0.695617
481 0.194042 0.293253 -0.699324
433 -0.402092 0.0786974 0.634526
121 0.711334 -0.576938 0.274703
393 -0.304642 0.68048 0.321099
409 0.0825627 0.0738439 -0.0889449
417 -0.299026 0.239527 1.39788
369 -0.514938 -0.336569 0.67765
65 0.0947029 0.856127 0.123172
