# Time-averaged data for fix dump_rdf_all
# TimeStep Number-of-rows
# Row c_calc_rdf_all[1] c_calc_rdf_all[2] c_calc_rdf_all[3]
20000 1000
222 0.935915 1.53848 4.9001
223 0.940141 1.50028 5.0164
224 0.944366 1.45061 5.12985
225 0.948592 1.41591 5.24159
226 0.952817 1.35907 5.3498
227 0.957042 1.31217 5.4552
228 0.961268 1.25547 5.55694
229 0.965493 1.21231 5.65605
230 0.969718 1.14424 5.75042
231 0.973944 1.10565 5.8424
232 0.978169 1.05592 5.93101
233 0.982394 1.01217 6.01668
234 0.98662 0.973487 6.09978
235 0.990845 0.928171 6.1797
236 0.99507 0.89184 6.25715
237 0.999296 0.872734 6.33358
238 1.00352 0.835605 6.40738
239 1.00775 0.821517 6.48055
240 1.01197 0.800508 6.55244
241 1.0162 0.782316 6.62329
242 1.02042 0.771278 6.69372
243 1.02465 0.757854 6.76351
244 1.02887 0.757035 6.83379
245 1.0331 0.755034 6.90446
246 1.03732 0.756859 6.97589
247 1.04155 0.750292 7.04727
248 1.04577 0.758998 7.12007
249 1.05 0.76124 7.19367
250 1.05423 0.761496 7.26789
251 1.05845 0.778545 7.34439
252 1.06268 0.785813 7.42221
253 1.0669 0.783506 7.50043
254 1.07113 0.806523 7.58158
255 1.07535 0.820563 7.6648
256 1.07958 0.836606 7.75031
257 1.0838 0.851389 7.83802
258 1.08803 0.856705 7.92696
259 1.09225 0.864842 8.01745
260 1.09648 0.864756 8.10863
261 1.1007 0.863219 8.20035
262 1.10493 0.87249 8.29377
263 1.10915 0.873076 8.38797
264 1.11338 0.865004 8.48201
265 1.11761 0.849988 8.57512
266 1.12183 0.832828 8.66704
267 1.12606 0.814838 8.75765
268 1.13028 0.792152 8.8464
269 1.13451 0.767178 8.933
270 1.13873 0.749962 9.01829
271 1.14296 0.730416 9.10197
272 1.14718 0.715055 9.1845
273 1.15141 0.70119 9.26603
274 1.15563 0.680454 9.34573
275 1.15986 0.67099 9.42489
276 1.16408 0.661278 9.50348
277 1.16831 0.652026 9.58153
278 1.17254 0.653172 9.66029
279 1.17676 0.65457 9.73978
280 1.18099 0.654491 9.81984
281 1.18521 0.65607 9.90066
282 1.18944 0.658174 9.98233
283 1.19366 0.659485 10.0647
284 1.19789 0.665095 10.1484
285 1.20211 0.673319 10.2338
286 1.20634 0.684422 10.3211
287 1.21056 0.697536 10.4108
288 1.21479 0.711285 10.5028
289 1.21901 0.719181 10.5965
290 1.22324 0.730032 10.6923
291 1.22746 0.736442 10.7897
292 1.23169 0.741287 10.8883
293 1.23592 0.757854 10.9898
294 1.24014 0.765668 11.0931
295 1.24437 0.780389 11.1991
296 1.24859 0.789321 11.307
297 1.25282 0.800632 11.4172
298 1.25704 0.817504 11.5305
299 1.26127 0.8315 11.6465
300 1.26549 0.834092 11.7636
301 1.26972 0.842276 11.8827
302 1.27394 0.855963 12.0045
303 1.27817 0.872065 12.1295
304 1.28239 0.881344 12.2566
305 1.28662 0.895886 12.3867
306 1.29085 0.912297 12.52
307 1.29507 0.925494 12.6561
308 1.2993 0.935831 12.7947
309 1.30352 0.951399 12.9365
310 1.30775 0.962307 13.0808
311 1.31197 0.968971 13.2271
312 1.3162 0.985478 13.3768
313 1.32042 0.99544 13.529
314 1.32465 1.00648 13.6839
315 1.32887 1.01138 13.8405
316 1.3331 1.03212 14.0014
317 1.33732 1.04937 14.166
318 1.34155 1.06175 14.3336
319 1.34577 1.06672 14.503
320 1.35 1.08169 14.6759
321 1.35423 1.10102 14.853
322 1.35845 1.10926 15.0325
323 1.36268 1.12338 15.2154
324 1.3669 1.12733 15.4002
325 1.37113 1.14473 15.5889
326 1.37535 1.16315 15.7819
327 1.37958 1.1709 15.9773
328 1.3838 1.18585 16.1764
329 1.38803 1.19522 16.3784
330 1.39225 1.19898 16.5822
331 1.39648 1.21432 16.7899
332 1.4007 1.22445 17.0006
333 1.40493 1.2323 17.2139
334 1.40915 1.24061 17.43
335 1.41338 1.24699 17.6484
336 1.41761 1.25022 17.8688
337 1.42183 1.26029 18.0922
338 1.42606 1.2686 18.3185
339 1.43028 1.27896 18.5479
340 1.43451 1.28345 18.7796
341 1.43873 1.27378 19.0108
342 1.44296 1.27442 19.2435
343 1.44718 1.28123 19.4788
344 1.45141 1.27125 19.7137
345 1.45563 1.27035 19.9498
346 1.45986 1.24784 20.183
347 1.46408 1.25217 20.4184
348 1.46831 1.2441 20.6536
349 1.47254 1.23135 20.8878
350 1.47676 1.22806 21.1227
351 1.48099 1.22504 21.3583
352 1.48521 1.20177 21.5908
353 1.48944 1.19076 21.8225
354 1.49366 1.18342 22.054
355 1.49789 1.17426 22.2851
356 1.50211 1.15694 22.514
357 1.50634 1.14599 22.7421
358 1.51056 1.13713 22.9696
359 1.51479 1.12017 23.195
360 1.51901 1.10558 23.4188
361 1.52324 1.09226 23.641
362 1.52746 1.08222 23.8625
363 1.53169 1.0754 24.0837
364 1.53592 1.06251 24.3036
365 1.54014 1.04835 24.5217
366 1.54437 1.04159 24.7395
367 1.54859 1.04095 24.9585
368 1.55282 1.0269 25.1756
369 1.55704 1.02017 25.3925
370 1.56127 1.01247 25.609
371 1.56549 1.00003 25.8239
372 1.56972 0.994732 26.0389
373 1.57394 0.988029 26.2535
374 1.57817 0.984267 26.4685
375 1.58239 0.983811 26.6846
376 1.58662 0.979422 26.9008
377 1.59085 0.980249 27.1184
378 1.59507 0.976778 27.3363
379 1.5993 0.972483 27.5544
380 1.60352 0.975584 27.7744
381 1.60775 0.973436 27.9951
382 1.61197 0.978729 28.2182
383 1.6162 0.977553 28.4421
384 1.62042 0.974141 28.6664
385 1.62465 0.98264 28.8939
386 1.62887 0.99092 29.1245
387 1.6331 0.987937 29.3555
388 1.63732 0.995894 29.5897
389 1.64155 1.00179 29.8264
390 1.64577 1.00561 30.0653
391 1.65 1.00685 30.3057
392 1.65423 1.00722 30.5474
393 1.65845 1.01968 30.7934
394 1.66268 1.02992 31.0431
395 1.6669 1.03628 31.2956
396 1.67113 1.04032 31.5504
397 1.67535 1.04688 31.8081
398 1.67958 1.04509 32.0667
399 1.6838 1.05163 32.3282
400 1.68803 1.05762 32.5925
401 1.69225 1.06038 32.8588
402 1.69648 1.06492 33.1276
403 1.7007 1.07103 33.3993
404 1.70493 1.07776 33.674
405 1.70915 1.08384 33.9517
406 1.71338 1.0926 34.233
407 1.71761 1.0975 34.5169
408 1.72183 1.10046 34.8031
409 1.72606 1.11117 35.0934
410 1.73028 1.11192 35.3853
411 1.73451 1.11609 35.6798
412 1.73873 1.11833 35.9763
413 1.74296 1.12312 36.2756
414 1.74718 1.12539 36.5769
415 1.75141 1.12234 36.8788
416 1.75563 1.1249 37.1829
417 1.75986 1.1213 37.4874
418 1.76408 1.11834 37.7926
419 1.76831 1.12677 38.1016
420 1.77254 1.12204 38.4108
421 1.77676 1.12072 38.7211
422 1.78099 1.12475 39.034
423 1.78521 1.13169 39.3503
424 1.78944 1.12037 39.6649
425 1.79366 1.12165 39.9814
426 1.79789 1.12374 40.3
427 1.80211 1.11201 40.6167
428 1.80634 1.10795 40.9337
429 1.81056 1.10794 41.2522
430 1.81479 1.10202 41.5706
431 1.81901 1.10071 41.89
432 1.82324 1.08593 42.2065
433 1.82746 1.08641 42.5247
434 1.83169 1.08106 42.8428
435 1.83592 1.07625 43.161
436 1.84014 1.0711 43.4791
437 1.84437 1.06848 43.7978
438 1.84859 1.06346 44.1165
439 1.85282 1.06028 44.4358
440 1.85704 1.05013 44.7534
441 1.86127 1.04018 45.0694
442 1.86549 1.03745 45.386
443 1.86972 1.03332 45.7028
444 1.87394 1.03024 46.0201
445 1.87817 1.02658 46.3377
446 1.88239 1.01637 46.6536
447 1.88662 1.0066 46.9678
448 1.89085 1.00616 47.2833
449 1.89507 0.995577 47.5968
450 1.8993 0.992359 47.9108
451 1.90352 0.991302 48.2258
