# Time-averaged data for fix dump_rdf_11
# TimeStep Number-of-rows
# Row c_calc_rdf_11[1] c_calc_rdf_11[2] c_calc_rdf_11[3]
100000 500
1 0.00422535 0 0
2 0.0126761 0 0
3 0.0211268 0 0
4 0.0295775 0 0
5 0.0380282 0 0
6 0.0464789 0 0
7 0.0549296 0 0
8 0.0633803 0 0
9 0.071831 0 0
10 0.0802817 0 0
11 0.0887324 0 0
12 0.0971831 0 0
13 0.105634 0 0
14 0.114085 0 0
15 0.122535 0 0
16 0.130986 0 0
17 0.139437 0 0
18 0.147887 0 0
19 0.156338 0 0
20 0.164789 0 0
21 0.173239 0 0
22 0.18169 0 0
23 0.190141 0 0
24 0.198592 0 0
25 0.207042 0 0
26 0.215493 0 0
27 0.223944 0 0
28 0.232394 0 0
29 0.240845 0 0
30 0.249296 0 0
31 0.257746 0 0
32 0.266197 0 0
33 0.274648 0 0
34 0.283099 0 0
35 0.291549 0 0
36 0.3 0 0
37 0.308451 0 0
38 0.316901 0 0
39 0.325352 0 0
40 0.333803 0 0
41 0.342254 0 0
42 0.350704 0 0
43 0.359155 0 0
44 0.367606 0 0
45 0.376056 0 0
46 0.384507 0 0
47 0.392958 0 0
48 0.401408 0 0
49 0.409859 0 0
50 0.41831 0 0
51 0.426761 0 0
52 0.435211 0 0
53 0.443662 0 0
54 0.452113 0 0
55 0.460563 0 0
56 0.469014 0 0
57 0.477465 0 0
58 0.485915 0 0
59 0.494366 0 0
60 0.502817 0 0
61 0.511268 0 0
62 0.519718 0 0
63 0.528169 0 0
64 0.53662 0 0
65 0.54507 0 0
66 0.553521 0 0
67 0.561972 0 0
68 0.570423 0 0
69 0.578873 0 0
70 0.587324 0 0
71 0.595775 0 0
72 0.604225 0 0
73 0.612676 0 0
74 0.621127 0 0
75 0.629577 0 0
76 0.638028 0 0
77 0.646479 0 0
78 0.65493 0 0
79 0.66338 0 0
80 0.671831 0 0
81 0.680282 0 0
82 0.688732 0 0
83 0.697183 0 0
84 0.705634 0 0
85 0.714085 0 0
86 0.722535 0 0
87 0.730986 0 0
88 0.739437 0 0
89 0.747887 0 0
90 0.756338 0 0
91 0.764789 0 0
92 0.773239 0 0
93 0.78169 0 0
94 0.790141 0 0
95 0.798592 0 0
96 0.807042 0 0
97 0.815493 0 0
98 0.823944 0 0
99 0.832394 0 0
100 0.840845 0 0
101 0.849296 0 0
102 0.857746 0 0
103 0.866197 0 0
104 0.874648 0 0
105 0.883099 0 0
106 0.891549 0.109831 0.00505051
107 0.9 0 0.00505051
108 0.908451 0 0.00505051
109 0.916901 0.103841 0.010101
110 0.925352 0.407813 0.030303
111 0.933803 0.200233 0.040404
112 0.942254 0.491643 0.0656566
113 0.950704 0.57953 0.0959596
114 0.959155 1.13873 0.156566
115 0.967606 1.11892 0.217172
116 0.976056 0.641451 0.252525
117 0.984507 1.1709 0.318182
118 0.992958 1.41669 0.39899
119 1.00141 1.82815 0.505051
120 1.00986 1.54087 0.59596
121 1.01831 1.85216 0.707071
122 1.02676 1.90461 0.823232
123 1.03521 1.79218 0.934343
124 1.04366 2.48461 1.09091
125 1.05211 2.20826 1.23232
126 1.06056 2.63889 1.40404
127 1.06901 2.44455 1.56566
128 1.07746 2.78235 1.75253
129 1.08592 2.29502 1.90909
130 1.09437 2.3326 2.07071
131 1.10282 2.08165 2.21717
132 1.11127 2.40358 2.38889
133 1.11972 3.06374 2.61111
134 1.12817 1.44041 2.71717
135 1.13662 1.8921 2.85859
136 1.14507 1.26504 2.95455
137 1.15352 1.57462 3.07576
138 1.16197 1.42249 3.18687
139 1.17042 1.01965 3.26768
140 1.17887 1.31917 3.37374
141 1.18732 0.990827 3.45455
142 1.19577 1.22109 3.55556
143 1.20423 0.782608 3.62121
144 1.21268 1.06856 3.71212
145 1.22113 1.17091 3.81313
146 1.22958 0.923899 3.89394
147 1.23803 0.968288 3.9798
148 1.24648 0.842826 4.05556
149 1.25493 0.886947 4.13636
150 1.26338 0.711036 4.20202
151 1.27183 0.647648 4.26263
152 1.28028 0.585866 4.31818
153 1.28873 0.841029 4.39899
154 1.29718 0.674462 4.46465
155 1.30563 0.973033 4.56061
156 1.31408 1.01111 4.66162
157 1.32254 0.89841 4.75253
158 1.33099 1.03488 4.85859
159 1.33944 0.875881 4.94949
160 1.34789 0.576622 5.0101
161 1.35634 0.854188 5.10101
162 1.36479 0.796773 5.18687
163 1.37324 0.694409 5.26263
164 1.38169 0.823129 5.35354
165 1.39014 0.722802 5.43434
166 1.39859 0.669463 5.5101
167 1.40704 0.749638 5.59596
168 1.41549 0.522857 5.65657
169 1.42394 0.81806 5.75253
170 1.43239 0.850985 5.85354
171 1.44085 1.00924 5.97475
172 1.4493 0.831252 6.07576
173 1.45775 0.862725 6.18182
174 1.4662 0.852809 6.28788
175 1.47465 1.04379 6.41919
176 1.4831 0.714413 6.5101
177 1.49155 1.13799 6.65657
178 1.5 0.620804 6.73737
179 1.50845 0.882435 6.85354
180 1.5169 0.682928 6.94444
181 1.52535 1.12564 7.09596
182 1.5338 0.593742 7.17677
183 1.54225 1.1378 7.33333
184 1.5507 1.05283 7.4798
185 1.55915 1.22101 7.65152
186 1.56761 1.03025 7.79798
187 1.57606 1.19496 7.9697
188 1.58451 1.32133 8.16162
189 1.59296 0.825695 8.28283
190 1.60141 1.15742 8.45455
191 1.60986 0.842134 8.58081
192 1.61831 0.9667 8.72727
193 1.62676 0.956683 8.87374
194 1.63521 1.17536 9.05556
195 1.64366 1.19562 9.24242
196 1.65211 1.11945 9.41919
197 1.66056 0.823151 9.55051
198 1.66901 1.06556 9.72222
199 1.67746 0.899722 9.86869
200 1.68592 1.10573 10.0505
201 1.69437 0.729817 10.1717
202 1.70282 1.02367 10.3434
203 1.71127 0.89434 10.4949
204 1.71972 0.856053 10.6414
205 1.72817 1.14001 10.8384
206 1.73662 1.1 11.0303
207 1.74507 0.888696 11.1869
208 1.75352 0.681407 11.3081
209 1.76197 1.04045 11.4949
210 1.77042 1.14195 11.702
211 1.77887 0.772477 11.8434
212 1.78732 1.09313 12.0455
213 1.79577 1.16408 12.2626
214 1.80423 1.07274 12.4646
215 1.81268 1.00963 12.6566
216 1.82113 1.34248 12.9141
217 1.82958 1.04322 13.1162
218 1.83803 1.16286 13.3434
219 1.84648 0.972999 13.5354
220 1.85493 1.16713 13.7677
221 1.86338 1.30743 14.0303
222 1.87183 1.17107 14.2677
223 1.88028 1.20995 14.5152
224 1.88873 0.758644 14.6717
225 1.89718 1.16423 14.9141
226 1.90563 1.20201 15.1667
227 1.91408 1.26291 15.4343
228 1.92254 1.01563 15.6515
229 1.93099 1.10042 15.8889
230 1.93944 1.2069 16.1515
231 1.94789 1.31149 16.4394
232 1.95634 1.20894 16.7071
233 1.96479 1.06288 16.9444
234 1.97324 0.96411 17.1616
235 1.98169 0.66691 17.3131
236 1.99014 1.05801 17.5556
237 1.99859 1.02723 17.7929
238 2.00704 1.04027 18.0354
239 2.01549 0.752182 18.2121
240 2.02394 0.959032 18.4394
241 2.03239 0.887669 18.6515
242 2.04085 0.943214 18.8788
243 2.0493 1.10175 19.1465
244 2.05775 1.05149 19.404
245 2.0662 0.981556 19.6465
246 2.07465 1.19669 19.9444
247 2.0831 0.985812 20.1919
248 2.09155 0.898036 20.4192
249 2.1 0.989804 20.6717
250 2.10845 0.805146 20.8788
251 2.1169 0.993543 21.1364
252 2.12535 1.00498 21.399
253 2.1338 1.1696 21.7071
254 2.14225 1.10333 22
255 2.1507 1.13242 22.303
256 2.15915 0.861406 22.5354
257 2.16761 0.650317 22.7121
258 2.17606 1.12462 23.0202
259 2.18451 0.768352 23.2323
260 2.19296 0.889515 23.4798
261 2.20141 0.72057 23.6818
262 2.20986 1.26925 24.0404
263 2.21831 1.02897 24.3333
264 2.22676 0.809895 24.5657
265 2.23521 0.961044 24.8434
266 2.24366 0.919134 25.1111
267 2.25211 0.826188 25.3535
268 2.26056 0.973776 25.6414
269 2.26901 0.932623 25.9192
270 2.27746 0.875221 26.1818
271 2.28592 0.785227 26.4192
272 2.29437 0.978463 26.7172
273 2.30282 1.02068 27.0303
274 2.31127 0.99689 27.3384
275 2.31972 1.05453 27.6667
276 2.32817 0.901938 27.9495
277 2.33662 0.847457 28.2172
278 2.34507 1.00011 28.5354
279 2.35352 0.929894 28.8333
280 2.36197 1.07974 29.1818
281 2.37042 1.02544 29.5152
282 2.37887 0.941033 29.8232
283 2.38732 0.934383 30.1313
284 2.39577 0.836543 30.4091
285 2.40423 0.724951 30.6515
286 2.41268 1.01983 30.9949
287 2.42113 0.893581 31.298
288 2.42958 0.990903 31.6364
289 2.43803 1.18967 32.0455
290 2.44648 0.845985 32.3384
291 2.45493 1.1154 32.7273
292 2.46338 0.877576 33.0354
293 2.47183 1.00018 33.3889
294 2.48028 0.922421 33.7172
295 2.48873 1.02893 34.0859
296 2.49718 1.18997 34.5152
297 2.50563 0.834322 34.8182
298 2.51408 1.06353 35.2071
299 2.52254 1.19361 35.6465
300 2.53099 0.858576 35.9646
301 2.53944 1.12362 36.3838
302 2.54789 1.11618 36.803
303 2.55634 1.40272 37.3333
304 2.56479 1.06171 37.7374
305 2.57324 1.05474 38.1414
306 2.58169 1.07405 38.5556
307 2.59014 1.05404 38.9646
308 2.59859 1.25405 39.4545
309 2.60704 1.01473 39.8535
310 2.61549 0.918847 40.2172
311 2.62394 1.02706 40.6263
312 2.63239 0.982676 41.0202
313 2.64085 1.12661 41.4747
314 2.6493 0.945302 41.8586
315 2.65775 1.06289 42.2929
316 2.6662 1.01932 42.7121
317 2.67465 1.13493 43.1818
318 2.6831 0.97014 43.5859
319 2.69155 0.927906 43.9747
320 2.7 1.06581 44.4242
321 2.70845 1.14248 44.9091
322 2.7169 1.17086 45.4091
323 2.72535 0.963799 45.8232
324 2.7338 0.911125 46.2172
325 2.74225 1.24219 46.7576
326 2.7507 1.04996 47.2172
327 2.75915 0.974731 47.6465
328 2.76761 0.877607 48.0354
329 2.77606 1.08751 48.5202
330 2.78451 0.878245 48.9141
331 2.79296 0.996045 49.3636
332 2.80141 0.990045 49.8131
333 2.80986 1.05044 50.2929
334 2.81831 0.934242 50.7222
335 2.82676 1.00514 51.1869
336 2.83521 0.988299 51.6465
337 2.84366 1.00403 52.1162
338 2.85211 0.965889 52.5707
339 2.86056 0.842834 52.9697
340 2.86901 0.98636 53.4394
341 2.87746 1.02275 53.9293
342 2.88592 1.15304 54.4848
343 2.89437 1.06295 55
344 2.90282 1.07749 55.5253
345 2.91127 0.741628 55.8889
346 2.91972 0.942158 56.3535
347 2.92817 1.232 56.9646
348 2.93662 1.06295 57.4949
349 2.94507 1.2481 58.1212
350 2.95352 0.950739 58.601
351 2.96197 0.885617 59.0505
352 2.97042 0.989422 59.5556
353 2.97887 0.885434 60.0101
354 2.98732 0.968475 60.5101
355 2.99577 1.02138 61.0404
356 3.00423 0.889899 61.5051
357 3.01268 0.942625 62
358 3.02113 1.17648 62.6212
359 3.02958 1.04628 63.1768
360 3.03803 0.898582 63.6566
361 3.04648 1.10995 64.2525
362 3.05493 0.888667 64.7323
363 3.06338 0.827954 65.1818
364 3.07183 0.925174 65.6869
365 3.08028 0.874099 66.1667
366 3.08873 0.805267 66.6111
367 3.09718 0.873686 67.096
368 3.10563 1.04092 67.6768
369 3.11408 0.981259 68.2273
370 3.12254 0.877464 68.7222
371 3.13099 0.89945 69.2323
372 3.13944 0.992048 69.798
373 3.14789 0.916248 70.3232
374 3.15634 0.981452 70.8889
375 3.16479 1.0198 71.4798
376 3.17324 1.06639 72.101
377 3.18169 0.983121 72.6768
378 3.19014 0.935028 73.2273
379 3.19859 0.972759 73.803
380 3.20704 0.976127 74.3838
381 3.21549 0.937229 74.9444
382 3.22394 0.965919 75.5253
383 3.23239 1.11963 76.202
384 3.24085 1.03068 76.8283
385 3.2493 1.03359 77.4596
386 3.25775 0.855494 77.9848
387 3.2662 1.03111 78.6212
388 3.27465 1.05836 79.2778
389 3.2831 1.02052 79.9141
390 3.29155 1.05557 80.5758
391 3.3 1.08224 81.2576
392 3.30845 0.973035 81.8737
393 3.3169 1.03156 82.5303
394 3.32535 0.971064 83.1515
395 3.3338 0.895453 83.7273
396 3.34225 1.17228 84.4848
397 3.3507 1.01863 85.1465
398 3.35915 1.1373 85.8889
399 3.36761 1.00073 86.5455
400 3.37606 1.01105 87.2121
401 3.38451 0.876446 87.7929
402 3.39296 0.993419 88.4545
403 3.40141 0.965852 89.101
404 3.40986 0.96107 89.7475
405 3.41831 0.956324 90.3939
406 3.42676 1.078 91.1263
407 3.43521 1.16888 91.9242
408 3.44366 0.96438 92.5859
409 3.45211 1.0549 93.3131
410 3.46056 1.07162 94.0556
411 3.46901 1.10268 94.8232
412 3.47746 0.9746 95.5051
413 3.48592 1.02735 96.2273
414 3.49437 0.965195 96.9091
415 3.50282 1.03881 97.6465
416 3.51127 1.10462 98.4343
417 3.51972 1.00067 99.1515
