# Time-averaged data for fix dump_rdf_12
# TimeStep Number-of-rows
# Row c_calc_rdf_12[1] c_calc_rdf_12[2] c_calc_rdf_12[3]
100000 500
1 0.00422535 0 0
2 0.0126761 0 0
3 0.0211268 0 0
4 0.0295775 0 0
5 0.0380282 0 0
6 0.0464789 0 0
7 0.0549296 0 0
8 0.0633803 0 0
9 0.071831 0 0
10 0.0802817 0 0
11 0.0887324 0 0
12 0.0971831 0 0
13 0.105634 0 0
14 0.114085 0 0
15 0.122535 0 0
16 0.130986 0 0
17 0.139437 0 0
18 0.147887 0 0
19 0.156338 0 0
20 0.164789 0 0
21 0.173239 0 0
22 0.18169 0 0
23 0.190141 0 0
24 0.198592 0 0
25 0.207042 0 0
26 0.215493 0 0
27 0.223944 0 0
28 0.232394 0 0
29 0.240845 0 0
30 0.249296 0 0
31 0.257746 0 0
32 0.266197 0 0
33 0.274648 0 0
34 0.283099 0 0
35 0.291549 0 0
36 0.3 0 0
37 0.308451 0 0
38 0.316901 0 0
39 0.325352 0 0
40 0.333803 0 0
41 0.342254 0 0
42 0.350704 0 0
43 0.359155 0 0
44 0.367606 0 0
45 0.376056 0 0
46 0.384507 0 0
47 0.392958 0 0
48 0.401408 0 0
49 0.409859 0 0
50 0.41831 0 0
51 0.426761 0 0
52 0.435211 0 0
53 0.443662 0 0
54 0.452113 0 0
55 0.460563 0 0
56 0.469014 0 0
57 0.477465 0 0
58 0.485915 0 0
59 0.494366 0 0
60 0.502817 0 0
61 0.511268 0.164079 0.00505051
62 0.519718 1.11151 0.040404
63 0.528169 2.69056 0.128788
64 0.53662 5.36191 0.310606
65 0.54507 7.14579 0.560606
66 0.553521 9.72898 0.911616
67 0.561972 9.16697 1.25253
68 0.570423 7.77696 1.55051
69 0.578873 7.87154 1.86111
70 0.587324 7.21148 2.15404
71 0.595775 5.80002 2.39646
72 0.604225 4.34666 2.58333
73 0.612676 2.97073 2.71465
74 0.621127 2.94604 2.84848
75 0.629577 2.38055 2.9596
76 0.638028 2.05451 3.05808
77 0.646479 1.18016 3.11616
78 0.65493 1.1499 3.17424
79 0.66338 1.26699 3.2399
80 0.671831 0.71268 3.27778
81 0.680282 0.602406 3.31061
82 0.688732 0.632923 3.34596
83 0.697183 0.397075 3.36869
84 0.705634 0.47376 3.39646
85 0.714085 0.420557 3.42172
86 0.722535 0.451855 3.44949
87 0.730986 0.200667 3.46212
88 0.739437 0.274549 3.4798
89 0.747887 0.23004 3.49495
90 0.756338 0.299904 3.51515
91 0.764789 0.256649 3.53283
92 0.773239 0.143469 3.54293
93 0.78169 0.245671 3.56061
94 0.790141 0.206095 3.57576
95 0.798592 0.201756 3.59091
96 0.807042 0.197553 3.60606
97 0.815493 0.322467 3.63131
98 0.823944 0.379063 3.66162
99 0.832394 0.278554 3.68434
100 0.840845 0.333646 3.71212
101 0.849296 0.208116 3.7298
102 0.857746 0.174888 3.74495
103 0.866197 0.371566 3.77778
104 0.874648 0.252291 3.80051
105 0.883099 0.247486 3.82323
106 0.891549 0.404694 3.86111
107 0.9 0.211802 3.88131
108 0.908451 0.285835 3.90909
109 0.916901 0.204066 3.92929
110 0.925352 0.350623 3.96465
111 0.933803 0.245932 3.9899
112 0.942254 0.241541 4.01515
113 0.950704 0.260993 4.04293
114 0.959155 0.442897 4.09091
115 0.967606 0.458099 4.14141
116 0.976056 0.360161 4.18182
117 0.984507 0.641633 4.25505
118 0.992958 0.326254 4.29293
119 1.00141 0.278002 4.32576
120 1.00986 0.546737 4.39141
121 1.01831 0.413616 4.44192
122 1.02676 0.488202 4.50253
123 1.03521 0.60033 4.57828
124 1.04366 0.354389 4.62374
125 1.05211 0.65869 4.7096
126 1.06056 0.686367 4.80051
127 1.06901 0.769385 4.90404
128 1.07746 0.831253 5.01768
129 1.08592 0.781994 5.12626
130 1.09437 0.537184 5.20202
131 1.10282 0.634779 5.29293
132 1.11127 0.625162 5.38384
133 1.11972 0.992059 5.5303
134 1.12817 0.893007 5.66414
135 1.13662 0.863178 5.79545
136 1.14507 0.883195 5.93182
137 1.15352 0.886419 6.07071
138 1.16197 0.873572 6.2096
139 1.17042 0.814039 6.34091
140 1.17887 0.941289 6.49495
141 1.18732 0.760605 6.62121
142 1.19577 0.97486 6.78535
143 1.20423 0.857709 6.93182
144 1.21268 0.962458 7.09848
145 1.22113 1.12176 7.29545
146 1.22958 1.07803 7.48737
147 1.23803 1.09134 7.68434
148 1.24648 1.03519 7.87374
149 1.25493 1.02129 8.06313
150 1.26338 1.15547 8.2803
151 1.27183 1.15342 8.5
152 1.28028 1.15133 8.72222
153 1.28873 1.03298 8.92424
154 1.29718 1.21073 9.16414
155 1.30563 1.20769 9.40657
156 1.31408 1.453 9.70202
157 1.32254 1.37319 9.98485
158 1.33099 1.36792 10.2702
159 1.33944 1.42243 10.5707
160 1.34789 1.18038 10.8232
161 1.35634 1.15406 11.0732
162 1.36479 1.37007 11.3737
163 1.37324 1.27366 11.6566
164 1.38169 1.29183 11.947
165 1.39014 1.33165 12.25
166 1.39859 1.23887 12.5354
167 1.40704 1.31069 12.8409
168 1.41549 1.43423 13.1793
169 1.42394 1.44898 13.5253
170 1.43239 1.44239 13.8737
171 1.44085 1.61145 14.2677
172 1.4493 1.43957 14.6237
173 1.45775 1.32201 14.9545
174 1.4662 1.60609 15.3611
175 1.47465 1.42995 15.7273
176 1.4831 1.34545 16.0758
177 1.49155 1.32061 16.4217
178 1.5 1.32483 16.7727
179 1.50845 1.16866 17.0859
180 1.5169 1.35139 17.452
181 1.52535 1.23507 17.7904
182 1.5338 1.32177 18.1566
183 1.54225 1.28028 18.5152
184 1.5507 1.09692 18.8258
185 1.55915 1.19974 19.1692
186 1.56761 1.1083 19.4899
187 1.57606 1.16552 19.8308
188 1.58451 1.05916 20.1439
189 1.59296 1.13246 20.4823
190 1.60141 0.986747 20.7803
191 1.60986 0.860569 21.0429
192 1.61831 0.966244 21.3409
193 1.62676 0.84278 21.6035
194 1.63521 0.922313 21.8939
195 1.64366 1.0478 22.2273
196 1.65211 0.832827 22.4949
197 1.66056 0.793264 22.7525
198 1.66901 0.94692 23.0631
199 1.67746 0.792601 23.3258
200 1.68592 0.83749 23.6061
201 1.69437 0.829157 23.8864
202 1.70282 0.917095 24.1995
203 1.71127 0.908059 24.5126
204 1.71972 0.8629 24.8131
205 1.72817 0.818579 25.101
206 1.73662 0.760856 25.3712
207 1.74507 0.70421 25.6237
208 1.75352 0.767183 25.9015
209 1.76197 0.891087 26.2273
210 1.77042 0.779973 26.5152
211 1.77887 0.962336 26.8737
212 1.78732 0.798857 27.1742
213 1.79577 0.851206 27.4975
214 1.80423 0.843251 27.8207
215 1.81268 0.763614 28.1162
216 1.82113 0.717747 28.3965
217 1.82958 0.858483 28.7348
218 1.83803 0.768085 29.0404
219 1.84648 0.842839 29.3788
220 1.85493 0.84141 29.7197
221 1.86338 0.833795 30.0606
222 1.87183 0.979299 30.4646
223 1.88028 0.843136 30.8157
224 1.88873 0.781504 31.1439
225 1.89718 0.911594 31.5303
226 1.90563 0.820851 31.8813
227 1.91408 0.93654 32.2854
228 1.92254 0.957335 32.702
229 1.93099 0.839698 33.0707
230 1.93944 0.940722 33.4874
231 1.94789 0.932577 33.904
232 1.95634 0.935744 34.3258
233 1.96479 0.961043 34.7626
234 1.97324 0.941814 35.1944
235 1.98169 1.07578 35.6919
236 1.99014 1.01252 36.1641
237 1.99859 0.961022 36.6162
238 2.00704 0.899709 37.0429
239 2.01549 0.950251 37.4975
240 2.02394 1.02086 37.9899
241 2.03239 0.996813 38.4747
242 2.04085 1.00402 38.9672
243 2.0493 1.10299 39.5126
244 2.05775 0.982532 40.0025
245 2.0662 1.08502 40.548
246 2.07465 0.86694 40.9874
247 2.0831 0.929109 41.4621
248 2.09155 1.03437 41.9949
249 2.1 1.11845 42.5758
250 2.10845 0.988907 43.0934
251 2.1169 1.00974 43.6263
252 2.12535 1.12516 44.2247
253 2.1338 0.918448 44.7172
254 2.14225 1.24767 45.3914
255 2.1507 1.12197 46.0025
256 2.15915 1.16381 46.6414
257 2.16761 1.08172 47.2399
258 2.17606 1.14127 47.8763
259 2.18451 1.14145 48.5177
260 2.19296 1.04348 49.1086
261 2.20141 1.14611 49.7626
262 2.20986 1.15493 50.4268
263 2.21831 1.07642 51.0505
264 2.22676 1.05961 51.6692
265 2.23521 1.09883 52.3157
266 2.24366 1.12891 52.9848
267 2.25211 1.01475 53.5909
268 2.26056 1.1037 54.2551
269 2.26901 1.02052 54.8737
270 2.27746 1.0419 55.5101
271 2.28592 1.09987 56.1869
272 2.29437 1.05105 56.8384
273 2.30282 1.11614 57.5354
274 2.31127 1.04376 58.1919
275 2.31972 1.00429 58.8283
276 2.32817 1.13153 59.5505
277 2.33662 0.942679 60.1566
278 2.34507 0.986592 60.7955
279 2.35352 1.2002 61.5783
280 2.36197 0.941771 62.197
281 2.37042 1.03048 62.8788
282 2.37887 1.05349 63.5808
283 2.38732 1.07991 64.3056
284 2.39577 1.00879 64.9874
285 2.40423 1.04623 65.6995
286 2.41268 1.0647 66.4293
287 2.42113 0.910947 67.0581
288 2.42958 0.970015 67.7323
289 2.43803 1.0535 68.4697
290 2.44648 0.938744 69.1313
291 2.45493 0.935851 69.7955
292 2.46338 1.13441 70.6061
293 2.47183 0.880978 71.2399
294 2.48028 1.05277 72.0025
295 2.48873 0.955612 72.6995
296 2.49718 0.983545 73.4217
297 2.50563 0.976922 74.1439
298 2.51408 0.953401 74.8535
299 2.52254 1.03465 75.6288
300 2.53099 1.02106 76.399
301 2.53944 0.987667 77.149
302 2.54789 0.964609 77.8864
303 2.55634 0.945115 78.6136
304 2.56479 0.922597 79.3283
305 2.57324 0.848535 79.9899
306 2.58169 1.0296 80.798
307 2.59014 1.02609 81.6086
308 2.59859 0.984497 82.3914
309 2.60704 0.867692 83.0859
310 2.61549 0.965545 83.8636
311 2.62394 0.96245 84.6439
312 2.63239 1.0058 85.4646
313 2.64085 0.913271 86.2146
314 2.6493 0.925786 86.9798
315 2.65775 0.871332 87.7045
316 2.6662 0.974422 88.5202
317 2.67465 0.935299 89.3081
318 2.6831 0.977079 90.1364
319 2.69155 0.982794 90.9747
320 2.7 0.900166 91.7475
321 2.70845 0.909175 92.5328
322 2.7169 0.941296 93.351
323 2.72535 0.961453 94.1919
324 2.7338 0.955518 95.0328
325 2.74225 1.03519 95.9495
326 2.7507 1.02601 96.8636
327 2.75915 1.00846 97.7677
328 2.76761 0.862325 98.5455
329 2.77606 0.932217 99.3914
330 2.78451 0.937631 100.247
331 2.79296 1.01169 101.177
332 2.80141 0.83071 101.944
333 2.80986 1.07561 102.944
334 2.81831 1.01247 103.891
335 2.82676 0.893707 104.732
336 2.83521 0.949747 105.631
337 2.84366 1.10323 106.682
338 2.85211 0.901616 107.545
339 2.86056 0.998506 108.508
340 2.86901 1.01087 109.487
341 2.87746 1.05933 110.52
342 2.88592 0.950141 111.452
343 2.89437 0.936921 112.376
344 2.90282 1.04854 113.417
345 2.91127 1.03234 114.447
346 2.91972 1.02889 115.48
347 2.92817 1.06798 116.558
348 2.93662 0.974809 117.548
349 2.94507 0.993948 118.563
350 2.95352 1.06448 119.657
351 2.96197 1.02664 120.717
352 2.97042 1.09372 121.854
353 2.97887 1.07785 122.98
354 2.98732 1.08378 124.119
355 2.99577 1.0036 125.179
356 3.00423 1.074 126.321
357 3.01268 1.02545 127.417
358 3.02113 0.939834 128.427
359 3.02958 1.01404 129.523
360 3.03803 0.987494 130.596
361 3.04648 1.09062 131.788
362 3.05493 1.02026 132.909
363 3.06338 0.964361 133.975
364 3.07183 1.03179 135.121
365 3.08028 1.03969 136.283
366 3.08873 1.08571 137.503
367 3.09718 1.02614 138.662
368 3.10563 1.03613 139.838
369 3.11408 1.05042 141.038
370 3.12254 1.02274 142.212
371 3.13099 1.01286 143.381
372 3.13944 1.05745 144.609
373 3.14789 1.06261 145.848
374 3.15634 1.0354 147.063
375 3.16479 1.02773 148.275
376 3.17324 1.0244 149.49
377 3.18169 1.01261 150.697
378 3.19014 1.06414 151.972
379 3.19859 0.98307 153.157
380 3.20704 0.944535 154.301
381 3.21549 0.987281 155.503
382 3.22394 0.963543 156.682
383 3.23239 1.02624 157.944
384 3.24085 1.02498 159.212
385 3.2493 0.995283 160.449
386 3.25775 1.00427 161.705
387 3.2662 0.985009 162.942
388 3.27465 1.01593 164.225
389 3.2831 0.994789 165.487
390 3.29155 0.896657 166.631
391 3.3 1.01023 167.927
392 3.30845 1.03054 169.255
393 3.3169 1.01945 170.576
394 3.32535 1.03173 171.919
395 3.3338 1.05159 173.295
396 3.34225 1.00788 174.621
397 3.3507 0.981793 175.919
398 3.35915 0.948352 177.179
399 3.36761 1.06273 178.598
400 3.37606 0.953932 179.879
401 3.38451 1.02593 181.263
402 3.39296 1.05622 182.694
403 3.40141 0.965715 184.01
404 3.40986 0.949868 185.311
405 3.41831 0.948848 186.616
