# Time-averaged data for fix dump_rdf_22
# TimeStep Number-of-rows
# Row c_calc_rdf_22[1] c_calc_rdf_22[2] c_calc_rdf_22[3]
100000 500
1 0.00422535 0 0
2 0.0126761 0 0
3 0.0211268 0 0
4 0.0295775 0 0
5 0.0380282 0 0
6 0.0464789 0 0
7 0.0549296 0 0
8 0.0633803 0 0
9 0.071831 0 0
10 0.0802817 0 0
11 0.0887324 0 0
12 0.0971831 0 0
13 0.105634 0 0
14 0.114085 0 0
15 0.122535 0 0
16 0.130986 0 0
17 0.139437 0 0
18 0.147887 0 0
19 0.156338 0 0
20 0.164789 0 0
21 0.173239 0 0
22 0.18169 0 0
23 0.190141 0 0
24 0.198592 0 0
25 0.207042 0 0
26 0.215493 0 0
27 0.223944 0 0
28 0.232394 0 0
29 0.240845 0 0
30 0.249296 0 0
31 0.257746 0 0
32 0.266197 0 0
33 0.274648 0 0
34 0.283099 0 0
35 0.291549 0 0
36 0.3 0 0
37 0.308451 0 0
38 0.316901 0 0
39 0.325352 0 0
40 0.333803 0 0
41 0.342254 0 0
42 0.350704 0 0
43 0.359155 0 0
44 0.367606 0 0
45 0.376056 0 0
46 0.384507 0 0
47 0.392958 0 0
48 0.401408 0 0
49 0.409859 0 0
50 0.41831 0 0
51 0.426761 0 0
52 0.435211 0 0
53 0.443662 0 0
54 0.452113 0 0
55 0.460563 0 0
56 0.469014 0 0
57 0.477465 0 0
58 0.485915 0 0
59 0.494366 0 0
60 0.502817 0 0
61 0.511268 0 0
62 0.519718 0 0
63 0.528169 0 0
64 0.53662 0 0
65 0.54507 0 0
66 0.553521 0 0
67 0.561972 0 0
68 0.570423 0 0
69 0.578873 0 0
70 0.587324 0 0
71 0.595775 0 0
72 0.604225 0 0
73 0.612676 0 0
74 0.621127 0 0
75 0.629577 0 0
76 0.638028 0 0
77 0.646479 0 0
78 0.65493 0 0
79 0.66338 0 0
80 0.671831 0 0
81 0.680282 0 0
82 0.688732 0 0
83 0.697183 0 0
84 0.705634 0 0
85 0.714085 0.000107847 6.46766e-06
86 0.722535 0.000688755 4.87562e-05
87 0.730986 0.0027194 0.000219652
88 0.739437 0.00762076 0.000709701
89 0.747887 0.0177616 0.00187811
90 0.756338 0.0393261 0.00452388
91 0.764789 0.0761787 0.00976418
92 0.773239 0.137891 0.0194604
93 0.78169 0.223873 0.0355488
94 0.790141 0.335409 0.0601764
95 0.798592 0.478663 0.0960784
96 0.807042 0.648116 0.145724
97 0.815493 0.829447 0.210598
98 0.823944 1.0173 0.291821
99 0.832394 1.20435 0.389962
100 0.840845 1.38424 0.505064
101 0.849296 1.5731 0.638512
102 0.857746 1.74401 0.789418
103 0.866197 1.87029 0.954454
104 0.874648 1.98646 1.13318
105 0.883099 2.08101 1.32405
106 0.891549 2.15597 1.52559
107 0.9 2.20559 1.7357
108 0.908451 2.25783 1.95485
109 0.916901 2.25065 2.17738
110 0.925352 2.25009 2.40397
111 0.933803 2.22054 2.6317
112 0.942254 2.18677 2.86004
113 0.950704 2.15686 3.08931
114 0.959155 2.10142 3.31667
115 0.967606 2.05236 3.54266
116 0.976056 1.98962 3.76559
117 0.984507 1.92132 3.9846
118 0.992958 1.84937 4.19905
119 1.00141 1.78417 4.40948
120 1.00986 1.71527 4.6152
121 1.01831 1.64782 4.81616
122 1.02676 1.5751 5.01145
123 1.03521 1.51165 5.20198
124 1.04366 1.4499 5.38771
125 1.05211 1.39866 5.5698
126 1.06056 1.34322 5.74749
127 1.06901 1.28781 5.92057
128 1.07746 1.23131 6.08869
129 1.08592 1.18288 6.25273
130 1.09437 1.13941 6.41322
131 1.10282 1.08502 6.56842
132 1.11127 1.04339 6.71996
133 1.11972 1.0017 6.86766
134 1.12817 0.965042 7.01211
135 1.13662 0.939167 7.15481
136 1.14507 0.904035 7.29422
137 1.15352 0.878776 7.43174
138 1.16197 0.856253 7.5677
139 1.17042 0.838575 7.70281
140 1.17887 0.811813 7.83549
141 1.18732 0.796041 7.96747
142 1.19577 0.779068 8.09849
143 1.20423 0.769504 8.22972
144 1.21268 0.754796 8.36027
145 1.22113 0.747635 8.49138
146 1.22958 0.738291 8.62265
147 1.23803 0.739273 8.75592
148 1.24648 0.733411 8.88993
149 1.25493 0.729037 9.02496
150 1.26338 0.729445 9.16189
151 1.27183 0.719859 9.29883
152 1.28028 0.721834 9.43798
153 1.28873 0.727231 9.58003
154 1.29718 0.725433 9.72359
155 1.30563 0.725566 9.86906
156 1.31408 0.725891 10.0165
157 1.32254 0.720845 10.1648
158 1.33099 0.723813 10.3156
159 1.33944 0.726814 10.4689
160 1.34789 0.72786 10.6244
161 1.35634 0.729709 10.7823
162 1.36479 0.731852 10.9426
163 1.37324 0.733768 11.1054
164 1.38169 0.735891 11.2706
165 1.39014 0.741151 11.439
166 1.39859 0.754659 11.6127
167 1.40704 0.757434 11.789
168 1.41549 0.768049 11.97
169 1.42394 0.770461 12.1537
170 1.43239 0.775514 12.3409
171 1.44085 0.785833 12.5327
172 1.4493 0.794777 12.7291
173 1.45775 0.807476 12.9309
174 1.4662 0.817842 13.1376
175 1.47465 0.830486 13.35
176 1.4831 0.844291 13.5684
177 1.49155 0.851681 13.7913
178 1.5 0.861438 14.0192
179 1.50845 0.870759 14.2522
180 1.5169 0.87884 14.4901
181 1.52535 0.89624 14.7353
182 1.5338 0.908776 14.9868
183 1.54225 0.923297 15.245
184 1.5507 0.939154 15.5106
185 1.55915 0.950827 15.7825
186 1.56761 0.968773 16.0625
187 1.57606 0.982002 16.3493
188 1.58451 0.991629 16.6421
189 1.59296 1.00768 16.9429
190 1.60141 1.02278 17.2513
191 1.60986 1.0372 17.5675
192 1.61831 1.05175 17.8914
193 1.62676 1.06549 18.223
194 1.63521 1.08029 18.5628
195 1.64366 1.09076 18.9093
196 1.65211 1.10393 19.2637
197 1.66056 1.11631 19.6257
198 1.66901 1.12909 19.9956
199 1.67746 1.14178 20.3735
200 1.68592 1.14833 20.7573
201 1.69437 1.15792 21.1483
202 1.70282 1.16757 21.5464
203 1.71127 1.17513 21.9512
204 1.71972 1.18227 22.3624
205 1.72817 1.19559 22.7823
206 1.73662 1.1954 23.2063
207 1.74507 1.19817 23.6354
208 1.75352 1.19912 24.0691
209 1.76197 1.1977 24.5064
210 1.77042 1.20281 24.9498
211 1.77887 1.20236 25.3972
212 1.78732 1.19324 25.8455
213 1.79577 1.19036 26.297
214 1.80423 1.18905 26.7522
215 1.81268 1.18294 27.2093
216 1.82113 1.17345 27.667
217 1.82958 1.16683 28.1264
218 1.83803 1.1668 28.59
219 1.84648 1.15651 29.0537
220 1.85493 1.14467 29.5169
221 1.86338 1.13535 29.9806
222 1.87183 1.12967 30.4461
223 1.88028 1.12118 30.9122
224 1.88873 1.10996 31.3779
225 1.89718 1.09958 31.8434
226 1.90563 1.08736 32.3078
227 1.91408 1.07834 32.7724
228 1.92254 1.06665 33.2361
229 1.93099 1.05683 33.6995
230 1.93944 1.04695 34.1627
231 1.94789 1.03925 34.6264
232 1.95634 1.02732 35.0888
233 1.96479 1.01692 35.5505
234 1.97324 1.00614 36.0113
235 1.98169 0.996584 36.4715
236 1.99014 0.986765 36.9312
237 1.99859 0.978384 37.3908
238 2.00704 0.972855 37.8517
239 2.01549 0.96354 38.312
240 2.02394 0.95489 38.772
241 2.03239 0.94484 39.231
242 2.04085 0.941532 39.6922
243 2.0493 0.934887 40.154
244 2.05775 0.931853 40.618
245 2.0662 0.92588 41.0829
246 2.07465 0.920329 41.5488
247 2.0831 0.918353 42.0174
248 2.09155 0.914096 42.4877
249 2.1 0.911936 42.9607
250 2.10845 0.905299 43.434
251 2.1169 0.904408 43.9107
252 2.12535 0.904608 44.3912
253 2.1338 0.906729 44.8768
254 2.14225 0.908369 45.3671
255 2.1507 0.903309 45.8585
256 2.15915 0.902785 46.3534
257 2.16761 0.899598 46.8505
258 2.17606 0.900194 47.3519
259 2.18451 0.900145 47.857
260 2.19296 0.902133 48.3673
261 2.20141 0.904429 48.8828
262 2.20986 0.909995 49.4054
263 2.21831 0.912632 49.9336
264 2.22676 0.913124 50.4661
265 2.23521 0.916206 51.0044
266 2.24366 0.917136 51.5474
267 2.25211 0.924734 52.099
268 2.26056 0.927793 52.6566
269 2.26901 0.931697 53.2207
270 2.27746 0.934888 53.791
271 2.28592 0.937857 54.3674
272 2.29437 0.942127 54.9507
273 2.30282 0.945607 55.5404
274 2.31127 0.949769 56.1371
275 2.31972 0.956138 56.7422
276 2.32817 0.961169 57.3549
277 2.33662 0.965341 57.9748
278 2.34507 0.97081 58.6027
279 2.35352 0.978259 59.2399
280 2.36197 0.981852 59.8842
281 2.37042 0.986395 60.536
282 2.37887 0.98884 61.1941
283 2.38732 0.989899 61.8576
284 2.39577 0.994607 62.529
285 2.40423 1.00236 63.2104
286 2.41268 1.00792 63.9005
287 2.42113 1.01181 64.598
288 2.42958 1.01431 65.3022
289 2.43803 1.01721 66.0132
290 2.44648 1.0193 66.7307
291 2.45493 1.0238 67.4564
292 2.46338 1.02654 68.189
293 2.47183 1.03027 68.9293
294 2.48028 1.03475 69.678
295 2.48873 1.03794 70.434
296 2.49718 1.03942 71.1963
297 2.50563 1.04394 71.9671
298 2.51408 1.04772 72.746
299 2.52254 1.04913 73.5311
300 2.53099 1.05313 74.3245
301 2.53944 1.05626 75.1256
302 2.54789 1.05449 75.9307
303 2.55634 1.05823 76.744
304 2.56479 1.05646 77.5613
305 2.57324 1.05574 78.3834
306 2.58169 1.05786 79.2127
307 2.59014 1.05914 80.0483
308 2.59859 1.05786 80.8885
309 2.60704 1.05537 81.7321
310 2.61549 1.05234 82.5787
311 2.62394 1.05317 83.4315
312 2.63239 1.05448 84.2909
313 2.64085 1.05438 85.1557
314 2.6493 1.05022 86.0226
315 2.65775 1.04736 86.8927
316 2.6662 1.04731 87.7682
317 2.67465 1.04641 88.6486
318 2.6831 1.04281 89.5315
319 2.69155 1.04049 90.418
320 2.7 1.03814 91.3081
321 2.70845 1.03357 92.1998
322 2.7169 1.03302 93.0966
323 2.72535 1.03109 93.9973
324 2.7338 1.0246 94.8978
325 2.74225 1.0242 95.8036
326 2.7507 1.02181 96.7129
327 2.75915 1.01849 97.6248
328 2.76761 1.01693 98.5409
329 2.77606 1.01501 99.4608
330 2.78451 1.0121 100.384
331 2.79296 1.00817 101.309
332 2.80141 1.00769 102.239
333 2.80986 1.00573 103.173
334 2.81831 1.00131 104.108
335 2.82676 0.999016 105.047
336 2.83521 0.996757 105.989
337 2.84366 0.995724 106.936
338 2.85211 0.994255 107.887
339 2.86056 0.990909 108.841
340 2.86901 0.986266 109.796
341 2.87746 0.983895 110.754
342 2.88592 0.982615 111.716
343 2.89437 0.98154 112.683
344 2.90282 0.97782 113.652
345 2.91127 0.973202 114.622
346 2.91972 0.972958 115.598
347 2.92817 0.971919 116.578
348 2.93662 0.973849 117.566
349 2.94507 0.972348 118.557
350 2.95352 0.973653 119.556
351 2.96197 0.971362 120.559
352 2.97042 0.971175 121.566
353 2.97887 0.968656 122.577
354 2.98732 0.966492 123.592
355 2.99577 0.968245 124.614
356 3.00423 0.968376 125.641
357 3.01268 0.967383 126.674
358 3.02113 0.966527 127.712
359 3.02958 0.969871 128.758
360 3.03803 0.972409 129.814
361 3.04648 0.972541 130.876
362 3.05493 0.972538 131.943
363 3.06338 0.974026 133.018
364 3.07183 0.976373 134.102
365 3.08028 0.978456 135.193
366 3.08873 0.9802 136.293
367 3.09718 0.982347 137.401
368 3.10563 0.981605 138.515
369 3.11408 0.984119 139.637
370 3.12254 0.985827 140.768
371 3.13099 0.986329 141.905
372 3.13944 0.987356 143.049
373 3.14789 0.989654 144.203
374 3.15634 0.98959 145.362
375 3.16479 0.987247 146.525
376 3.17324 0.98985 147.697
377 3.18169 0.990185 148.876
378 3.19014 0.995244 150.067
379 3.19859 0.996612 151.267
380 3.20704 0.996139 152.471
381 3.21549 0.998257 153.685
382 3.22394 0.998494 154.906
383 3.23239 0.999553 156.134
384 3.24085 1.00194 157.372
385 3.2493 1.00239 158.616
386 3.25775 1.00334 159.869
387 3.2662 1.00443 161.129
388 3.27465 1.0086 162.401
389 3.2831 1.01043 163.682
390 3.29155 1.01213 164.971
391 3.3 1.0144 166.271
392 3.30845 1.01274 167.574
393 3.3169 1.01237 168.884
394 3.32535 1.01437 170.203
395 3.3338 1.01412 171.529
396 3.34225 1.01566 172.863
397 3.3507 1.01633 174.205
398 3.35915 1.0147 175.552
399 3.36761 1.01855 176.91
400 3.37606 1.01848 178.276
401 3.38451 1.01833 179.648
402 3.39296 1.01726 181.025
403 3.40141 1.01916 182.412
404 3.40986 1.02086 183.808
405 3.41831 1.02142 185.211
406 3.42676 1.01988 186.62
407 3.43521 1.01847 188.033
408 3.44366 1.01767 189.452
409 3.45211 1.01802 190.879
410 3.46056 1.01999 192.316
411 3.46901 1.01982 193.759
412 3.47746 1.01661 195.205
413 3.48592 1.01581 196.657
