ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
1200
ITEM: BOX BOUNDS pp pp pp
-4.4919104223854296e+00 4.4919104223854296e+00
-4.4919104223854296e+00 4.4919104223854296e+00
-4.4919104223854296e+00 4.4919104223854296e+00
ITEM: ATOMS id f_aveg_velocity_dist[1] f_aveg_velocity_dist[2] f_aveg_velocity_dist[3]
537 0.580014 -0.319663 -0.250265
529 0.225449 -0.699821 0.228338
521 -0.476934 0.792892 -1.3464
25 0.00239258 -0.184197 -0.388093
505 0.0661694 1.2437 0.769532
105 -0.54765 0.369466 -0.883381
97 -0.168395 -0.36765 -0.677635
81 -0.320534 0.809409 -0.11566
89 -0.236846 0.085644 -0.143537
256 0.281366 0.329863 0.194851
408 -0.232067 -1.64507 0.6462
80 -0.404702 0.83148 -0.165076
88 0.296834 -0.595438 -0.627525
96 -0.448117 -0.964063 -0.28435
104 -0.130732 -0.325969 0.231131
72 0.667182 0.650978 -0.215757
512 0.363508 -0.406741 0.431113
520 0.839977 -0.899165 -1.64118
528 -0.403414 -0.452955 1.35118
536 -0.277049 -0.504857 0.861417
544 -1.62093 0.853489 -0.221178
552 -0.226567 0.972081 -0.628873
64 0.165492 -0.141581 0.140643
568 0.81577 1.03881 -0.332923
576 -1.4981 -0.0773072 -0.374803
592 0.839946 1.14856 -0.902442
600 1.08789 0.180419 0.952425
608 -0.640293 0.571958 -0.310397
56 -0.464583 0.0695999 -0.356397
616 0.285968 -0.748622 -0.757935
2 -0.290364 0.441757 -0.374803
90 -0.603039 0.742668 0.759977
74 0.16542 0.0268915 0.612841
106 -0.710143 -0.45015 -0.44696
514 0.740526 1.0089 -0.106495
522 0.133231 0.832098 0.659806
530 -1.18713 -0.846683 1.09576
538 -1.38233 -0.264008 0.0487234
66 -0.179768 0.493421 -0.240649
546 0.187691 0.520832 -0.198766
554 -0.793824 -0.449402 0.188123
562 0.168595 0.450255 -0.883537
570 0.0317702 -0.148289 0.409184
578 -0.117545 1.16601 -1.39873
586 1.65644 -0.721484 -0.697077
594 0.585216 -0.74235 1.16458
58 0.331232 0.504664 -0.0218144
602 0.307193 -0.779506 -1.39352
610 -0.338468 -0.614786 -0.254483
618 -1.11468 0.494273 -0.559169
26 1.14301 -0.30866 0.0967984
251 -0.834424 0.22785 -0.73164
83 0.290081 0.105375 -0.130485
75 -0.430242 0.0309311 1.27796
91 0.765076 -0.830354 -0.565594
99 0.0634371 -0.776621 0.328091
107 -0.544882 -0.975038 -0.00865178
507 -0.150355 -1.16149 -0.477798
