# Time-averaged data for fix dump_pressure
# TimeStep c_calc_pressure
39700 1.32572
39800 1.31601
39900 1.26575
40000 1.32567
40100 1.53302
40200 1.5107
40300 1.33163
40400 1.34602
40500 1.4343
40600 1.58767
40700 1.73293
40800 1.6351
40900 1.51289
41000 1.41147
41100 1.38736
41200 1.2644
41300 1.25594
41400 1.35797
41500 1.30558
41600 1.18672
41700 1.24102
41800 1.36764
41900 1.43148
42000 1.4915
42100 1.35581
42200 1.0777
42300 0.973471
42400 1.00792
42500 1.07202
42600 1.04592
42700 0.822718
42800 0.871006
42900 1.0235
43000 1.0723
43100 1.14873
43200 1.29242
43300 1.38554
43400 1.5154
43500 1.64664
43600 1.5694
43700 1.29588
43800 1.12935
43900 1.12048
44000 1.11604
44100 1.13034
44200 1.21933
44300 1.43595
44400 1.68404
44500 1.81271
44600 1.73319
44700 1.68094
44800 1.67076
44900 1.64182
45000 1.77734
45100 1.896
45200 1.95151
45300 2.01962
45400 2.00479
45500 1.82334
45600 1.49933
45700 1.42006
45800 1.43858
45900 1.32898
46000 1.25474
46100 1.22556
46200 1.13571
46300 1.1719
46400 1.32737
46500 1.31307
46600 1.25138
46700 1.38244
46800 1.53537
46900 1.84579
47000 2.05968
47100 2.01072
47200 1.87256
47300 1.87967
47400 1.91742
47500 1.87737
47600 1.49852
47700 1.32962
47800 1.57666
47900 1.57278
48000 1.40316
48100 1.20377
48200 1.16445
48300 1.30187
48400 1.26413
48500 0.980428
48600 0.645059
48700 0.611352
48800 0.796847
48900 1.02569
49000 1.11623
49100 1.04835
49200 1.02924
49300 1.02562
49400 1.012
49500 1.05353
49600 1.07043
49700 1.12959
49800 1.23147
49900 1.25441
50000 1.36451
50100 1.56118
50200 1.58346
50300 1.53401
50400 1.52163
50500 1.50998
50600 1.39948
50700 1.18637
50800 1.1588
50900 1.1378
51000 1.23457
51100 1.35633
51200 1.42992
51300 1.67558
51400 1.8467
51500 1.77861
51600 1.63196
51700 1.34076
51800 1.20612
51900 1.11631
52000 1.11908
52100 1.23534
52200 1.21021
52300 1.23264
52400 1.3143
52500 1.44297
52600 1.62178
52700 1.58991
52800 1.44968
52900 1.3212
53000 1.25614
53100 1.20757
53200 1.16768
53300 1.22352
53400 1.33591
53500 1.25619
53600 1.03106
53700 1.0344
53800 1.07966
53900 0.986547
54000 0.998311
54100 1.12039
54200 1.16727
54300 1.06056
54400 1.25659
54500 1.54693
54600 1.54056
54700 1.36317
54800 1.23099
54900 1.25423
55000 1.34421
55100 1.44041
55200 1.32196
55300 1.13195
55400 1.03041
55500 1.01221
55600 1.16939
55700 1.39281
55800 1.345
55900 1.15557
56000 1.02308
56100 0.931374
56200 0.94684
56300 1.02863
56400 1.03167
56500 1.10423
56600 1.18742
56700 1.14811
56800 1.15756
56900 1.2649
57000 1.2613
57100 1.28761
57200 1.40382
57300 1.46351
57400 1.42411
57500 1.52325
57600 1.56697
57700 1.40365
57800 1.33506
57900 1.18705
58000 1.1163
58100 1.20468
58200 1.256
58300 1.28516
58400 1.11974
58500 1.08708
58600 1.29611
58700 1.38424
58800 1.39781
58900 1.44313
59000 1.44025
59100 1.38831
59200 1.24399
59300 1.15467
59400 0.99585
59500 0.740882
59600 0.753954
59700 0.996077
59800 1.29235
59900 1.45657
60000 1.36951
60100 1.32387
60200 1.23382
60300 1.25621
60400 1.40192
60500 1.45842
60600 1.38631
60700 1.39539
60800 1.58593
60900 1.68498
61000 1.55853
61100 1.61635
61200 1.58803
61300 1.51348
61400 1.48965
61500 1.5081
61600 1.46693
61700 1.33125
61800 1.09005
61900 0.990128
62000 1.12969
62100 1.12718
62200 1.18242
62300 1.21144
62400 1.20936
62500 1.23759
62600 1.46837
62700 1.68625
62800 1.79739
62900 1.92028
63000 1.78366
63100 1.62871
63200 1.63293
63300 1.47935
63400 1.31865
63500 1.28335
63600 1.28449
63700 1.36758
63800 1.44953
63900 1.53973
64000 1.55733
64100 1.49226
64200 1.46342
64300 1.39171
64400 1.25243
64500 1.15921
64600 1.12197
64700 1.13181
64800 1.0853
64900 1.01339
65000 1.0365
65100 1.11153
65200 0.992992
65300 0.870157
65400 0.869654
65500 0.888162
65600 0.883405
65700 1.02468
65800 1.22146
65900 1.25165
66000 1.22262
66100 1.23754
66200 1.15904
66300 0.999624
66400 1.01096
66500 0.857079
66600 0.780447
66700 0.951327
66800 1.08026
66900 1.00418
67000 0.955593
67100 0.979934
67200 1.10104
67300 1.17333
67400 1.13342
67500 1.13541
67600 1.3198
67700 1.59504
67800 1.62453
67900 1.56244
68000 1.4738
68100 1.4433
68200 1.38874
68300 1.32018
68400 1.3224
68500 1.13022
68600 0.781658
68700 0.708591
68800 0.962491
68900 1.12
69000 1.20537
69100 1.21511
69200 1.26861
69300 1.31954
69400 1.36104
69500 1.29255
69600 1.30212
69700 1.47425
69800 1.63706
69900 1.59581
70000 1.49762
70100 1.48723
70200 1.40892
70300 1.2146
70400 1.14937
70500 1.33216
70600 1.43652
70700 1.29948
70800 1.25437
70900 1.36506
71000 1.24561
71100 1.1488
71200 1.29509
71300 1.3181
71400 1.29711
71500 1.27615
71600 1.33737
71700 1.23251
71800 1.12032
71900 1.25495
72000 1.47842
72100 1.67771
72200 1.73943
72300 1.51242
72400 1.41483
72500 1.57503
72600 1.73555
72700 1.73378
72800 1.71343
72900 1.67801
73000 1.58577
73100 1.56819
73200 1.82661
73300 1.91589
73400 1.93696
73500 1.89949
73600 1.86121
73700 1.8082
73800 1.66437
73900 1.4165
74000 1.26035
74100 1.15294
74200 1.21799
74300 1.22414
74400 1.15191
74500 1.02517
74600 1.0917
74700 1.37561
74800 1.5541
74900 1.43542
75000 1.48022
75100 1.51354
75200 1.44275
75300 1.43065
75400 1.50994
75500 1.61917
75600 1.73313
75700 1.75612
75800 1.71563
75900 1.66845
76000 1.65621
76100 1.63427
76200 1.54178
76300 1.38569
76400 1.28869
76500 1.22648
76600 1.15361
76700 1.19277
76800 1.16557
76900 0.94939
77000 0.900016
77100 1.04542
77200 1.23005
77300 1.29252
77400 1.18333
77500 1.38576
77600 1.45217
77700 1.37964
77800 1.42872
77900 1.54738
78000 1.4102
78100 1.20676
78200 1.08312
78300 0.916046
78400 0.807074
78500 0.780023
78600 0.735962
78700 0.754623
78800 0.921193
78900 1.05436
79000 1.1717
79100 1.30546
79200 1.18978
79300 1.14968
79400 1.21737
79500 1.17609
