# Time-averaged data for fix dump_ke
# TimeStep c_calc_ke c_calc_pe
23000 1202.46 -5717.46
23100 1210.56 -5725.87
23200 1205.14 -5719.73
23300 1202.31 -5717.1
23400 1203.27 -5719.21
23500 1191.01 -5705.83
23600 1182.55 -5696.99
23700 1175.4 -5691.12
23800 1176.41 -5691.33
23900 1178.71 -5693.47
24000 1171.01 -5686.23
24100 1173.71 -5688.58
24200 1181.62 -5697.11
24300 1179.8 -5694.7
24400 1179.91 -5694.47
24500 1169.86 -5685.06
24600 1174.26 -5689.28
24700 1186.49 -5701.57
24800 1178.19 -5693.53
24900 1179.22 -5694.75
25000 1187.76 -5702.33
25100 1189.13 -5704.11
25200 1195.91 -5710.98
25300 1197.77 -5713.07
25400 1194.34 -5709.41
25500 1200.32 -5714.99
25600 1209.37 -5724.59
25700 1211.3 -5726.4
25800 1210.29 -5725.21
25900 1218.35 -5732.8
26000 1225.84 -5740.31
26100 1224.07 -5739.1
26200 1223.24 -5737.41
26300 1217.42 -5731.59
26400 1220.65 -5735.69
26500 1216.92 -5732.05
26600 1211.95 -5727.04
26700 1194.24 -5709.15
26800 1171.73 -5686.68
26900 1167.53 -5682.86
27000 1179.43 -5694.98
27100 1180.75 -5695.79
27200 1182.89 -5698.43
27300 1186.92 -5702.31
27400 1188.92 -5705.04
27500 1200.82 -5715.95
27600 1209.05 -5723.87
27700 1194.44 -5709.07
27800 1179.31 -5693.37
27900 1185.98 -5701.3
28000 1188.89 -5703.57
28100 1195.88 -5711.59
28200 1214.14 -5728.92
28300 1214.9 -5730.08
28400 1216.59 -5731.06
28500 1212.61 -5727.6
28600 1217.13 -5732.96
28700 1230.57 -5745.62
28800 1232.19 -5747.44
28900 1237.45 -5752.88
29000 1223.36 -5738.32
29100 1208.02 -5723.17
29200 1201.38 -5716.67
29300 1183.31 -5698.76
29400 1177.15 -5692.09
29500 1173.92 -5688.65
29600 1187.49 -5702.01
29700 1187.1 -5701.49
29800 1184.43 -5700.31
29900 1195.2 -5709.55
30000 1194.06 -5709
30100 1192.01 -5706.94
30200 1199.77 -5714.5
30300 1196.29 -5711.1
30400 1198.77 -5713.7
30500 1206.94 -5721.82
30600 1179.74 -5694.31
30700 1151.38 -5665.92
30800 1157.94 -5673.35
30900 1178.1 -5693.45
31000 1192.63 -5707.03
31100 1190.47 -5705.49
31200 1183.2 -5698.3
