# Time-averaged data for fix dump_momentum
# TimeStep c_calc_momentum[1] c_calc_momentum[2] c_calc_momentum[3]
10800 -2.0961e-13 -3.55271e-14 -2.55795e-13
10900 -2.38032e-13 -2.4869e-14 -2.66454e-13
11000 -2.30926e-13 -7.37188e-14 -2.23821e-13
11100 -2.4869e-13 -8.52651e-14 -2.30926e-13
11200 -2.30926e-13 -8.61533e-14 -2.34479e-13
11300 -2.70006e-13 -8.79297e-14 -1.98952e-13
11400 -2.27374e-13 -6.92779e-14 -2.13163e-13
11500 -2.34479e-13 -7.81597e-14 -2.41585e-13
11600 -2.30926e-13 -1.10134e-13 -2.30926e-13
11700 -2.38032e-13 -1.24345e-13 -2.27374e-13
11800 -2.41585e-13 -1.4122e-13 -2.02505e-13
11900 -2.4869e-13 -1.55431e-13 -1.7053e-13
12000 -2.45137e-13 -1.86962e-13 -1.91847e-13
12100 -1.98952e-13 -1.94511e-13 -2.0961e-13
12200 -1.84741e-13 -2.28706e-13 -1.91847e-13
12300 -1.84741e-13 -2.02949e-13 -1.95399e-13
12400 -1.77636e-13 -2.20712e-13 -2.0961e-13
12500 -1.74083e-13 -2.06057e-13 -2.06057e-13
12600 -2.0961e-13 -2.08722e-13 -1.77636e-13
12700 -1.75859e-13 -1.88294e-13 -2.13163e-13
12800 -1.3145e-13 -2.07834e-13 -1.95399e-13
12900 -9.41469e-14 -2.49134e-13 -1.88294e-13
13000 -7.81597e-14 -2.62901e-13 -2.13163e-13
13100 -9.59233e-14 -2.78e-13 -1.98952e-13
13200 -7.10543e-14 -2.81553e-13 -1.95399e-13
13300 -5.68434e-14 -2.85993e-13 -1.84741e-13
13400 -9.23706e-14 -2.91767e-13 -1.63425e-13
13500 -1.42109e-13 -2.74003e-13 -1.49214e-13
13600 -2.02505e-13 -1.98508e-13 -1.1724e-13
13700 -1.52767e-13 -2.12275e-13 -1.04805e-13
13800 -1.74083e-13 -1.94067e-13 -7.99361e-14
13900 -1.36779e-13 -1.44551e-13 -7.10543e-14
14000 -1.98952e-13 -1.49214e-13 -4.9738e-14
14100 -2.0961e-13 -1.50546e-13 0
14200 -1.7053e-13 -1.26565e-13 7.10543e-15
14300 -1.56319e-13 -1.30562e-13 -3.55271e-15
14400 -1.36779e-13 -1.39888e-13 0
14500 -1.43885e-13 -1.43885e-13 -2.84217e-14
14600 -1.59872e-13 -1.25233e-13 -7.10543e-15
14700 -1.66978e-13 -1.20792e-13 -8.88178e-15
14800 -1.50102e-13 -1.50102e-13 -1.77636e-14
14900 -1.58096e-13 -1.65201e-13 -6.39488e-14
15000 -1.52767e-13 -1.12799e-13 -7.28306e-14
15100 -1.49214e-13 -1.34337e-13 -8.52651e-14
15200 -1.75859e-13 -1.32339e-13 -5.68434e-14
15300 -1.56319e-13 -1.26121e-13 -8.52651e-14
15400 -1.66978e-13 -1.45661e-13 -1.1724e-13
15500 -1.56319e-13 -1.42109e-13 -1.06581e-13
15600 -1.58096e-13 -1.47438e-13 -1.63425e-13
15700 -1.38556e-13 -1.75859e-13 -1.24345e-13
15800 -1.49214e-13 -1.81188e-13 -1.5099e-13
15900 -1.43885e-13 -1.74083e-13 -1.52767e-13
16000 -1.68754e-13 -1.56319e-13 -1.63425e-13
16100 -1.24345e-13 -1.30562e-13 -1.7053e-13
16200 -1.4122e-13 -1.35003e-13 -1.72307e-13
16300 -1.35891e-13 -9.05942e-14 -1.88294e-13
16400 -1.03917e-13 -1.19016e-13 -2.02505e-13
16500 -1.05693e-13 -1.01252e-13 -2.34479e-13
16600 -1.35891e-13 -1.33227e-13 -2.06057e-13
16700 -1.3145e-13 -1.45661e-13 -2.30926e-13
16800 -1.35003e-13 -1.47438e-13 -2.20268e-13
16900 -1.79412e-13 -1.7053e-13 -1.98952e-13
17000 -1.85629e-13 -1.82965e-13 -1.42109e-13
17100 -1.97176e-13 -1.97176e-13 -1.52767e-13
17200 -1.89182e-13 -2.11386e-13 -1.20792e-13
17300 -1.95399e-13 -2.34479e-13 -8.88178e-14
17400 -2.13163e-13 -2.11386e-13 -7.81597e-14
17500 -2.03393e-13 -2.34479e-13 -1.1724e-13
17600 -1.98064e-13 -1.79412e-13 -9.23706e-14
17700 -2.00728e-13 -1.91847e-13 -9.23706e-14
17800 -2.11386e-13 -2.27374e-13 -1.01252e-13
17900 -2.01617e-13 -2.23821e-13 -1.04805e-13
18000 -2.32703e-13 -2.34479e-13 -1.1191e-13
18100 -2.3892e-13 -2.41585e-13 -1.38556e-13
18200 -2.57572e-13 -2.20268e-13 -1.74083e-13
18300 -2.39808e-13 -2.73559e-13 -1.81188e-13
18400 -2.11386e-13 -2.85993e-13 -1.52767e-13
18500 -2.46914e-13 -2.55795e-13 -1.81188e-13
18600 -2.80664e-13 -2.54019e-13 -2.02505e-13
18700 -2.77112e-13 -2.77112e-13 -2.30926e-13
18800 -3.09974e-13 -2.57572e-13 -2.02505e-13
18900 -2.43805e-13 -2.59348e-13 -2.02505e-13
19000 -2.79332e-13 -2.52243e-13 -2.02505e-13
19100 -2.59792e-13 -2.55795e-13 -1.88294e-13
19200 -2.56684e-13 -2.23821e-13 -1.63425e-13
19300 -2.54019e-13 -2.11386e-13 -1.74083e-13
19400 -2.69562e-13 -1.94511e-13 -1.88294e-13
19500 -3.18856e-13 -2.05169e-13 -2.02505e-13
19600 -3.25961e-13 -2.37144e-13 -1.77636e-13
19700 -3.25961e-13 -2.06946e-13 -1.74083e-13
19800 -3.57936e-13 -2.07834e-13 -2.06057e-13
19900 -3.73479e-13 -2.23821e-13 -2.20268e-13
20000 -3.65041e-13 -2.70006e-13 -1.81188e-13
20100 -3.8991e-13 -2.23821e-13 -1.7053e-13
20200 -3.96128e-13 -2.36255e-13 -1.52767e-13
20300 -4.09006e-13 -2.30926e-13 -1.59872e-13
20400 -4.14335e-13 -2.41585e-13 -1.66978e-13
20500 -4.36984e-13 -2.73559e-13 -1.49214e-13
20600 -4.28546e-13 -3.21521e-13 -1.20792e-13
20700 -4.14779e-13 -3.18856e-13 -1.49214e-13
20800 -4.13891e-13 -3.09974e-13 -1.52767e-13
20900 -3.83693e-13 -3.32179e-13 -1.20792e-13
21000 -3.97904e-13 -3.38396e-13 -1.10134e-13
21100 -3.8014e-13 -3.64153e-13 -1.3145e-13
21200 -3.85469e-13 -3.27738e-13 -1.38556e-13
21300 -4.21885e-13 -3.2685e-13 -1.63425e-13
21400 -3.77476e-13 -2.93543e-13 -1.63425e-13
21500 -4.28102e-13 -2.91323e-13 -1.81188e-13
21600 -4.12115e-13 -3.01092e-13 -1.84741e-13
21700 -4.04121e-13 -3.35731e-13 -1.77636e-13
21800 -3.9968e-13 -3.33955e-13 -1.7053e-13
21900 -3.65041e-13 -3.32179e-13 -2.06057e-13
22000 -3.45501e-13 -3.40172e-13 -2.02505e-13
22100 -3.74811e-13 -3.3662e-13 -1.84741e-13
22200 -3.83693e-13 -3.52607e-13 -2.06057e-13
22300 -3.51719e-13 -3.47278e-13 -2.20268e-13
22400 -2.79776e-13 -3.4639e-13 -2.61124e-13
22500 -2.49578e-13 -3.10862e-13 -2.36255e-13
22600 -2.46025e-13 -3.14415e-13 -2.52243e-13
22700 -2.89546e-13 -3.5838e-13 -2.30926e-13
22800 -2.57572e-13 -3.90354e-13 -2.39808e-13
22900 -2.77112e-13 -3.50608e-13 -2.4869e-13
23000 -2.34479e-13 -3.7792e-13 -2.0961e-13
23100 -2.04281e-13 -3.69482e-13 -2.43361e-13
23200 -2.18492e-13 -3.01981e-13 -2.13163e-13
23300 -2.34479e-13 -3.37064e-13 -2.0961e-13
23400 -1.91847e-13 -2.83329e-13 -2.50466e-13
23500 -1.9007e-13 -3.01981e-13 -2.55795e-13
23600 -2.30926e-13 -3.22409e-13 -2.59348e-13
23700 -2.59348e-13 -3.2685e-13 -2.70006e-13
23800 -2.71783e-13 -3.36176e-13 -2.73559e-13
23900 -3.19744e-13 -3.24851e-13 -2.84217e-13
24000 -3.2685e-13 -3.28404e-13 -3.09086e-13
24100 -3.19744e-13 -3.37952e-13 -2.66454e-13
24200 -3.35731e-13 -3.1708e-13 -2.59348e-13
24300 -3.606e-13 -2.71783e-13 -2.94875e-13
24400 -3.48166e-13 -2.54463e-13 -2.85993e-13
24500 -3.4639e-13 -2.62901e-13 -2.66454e-13
24600 -3.30402e-13 -2.1938e-13 -2.84217e-13
24700 -3.67706e-13 -2.8777e-13 -2.59348e-13
24800 -3.44613e-13 -2.93099e-13 -2.6823e-13
24900 -3.42837e-13 -2.46025e-13 -2.75335e-13
25000 -3.33955e-13 -2.28262e-13 -2.23821e-13
