# Time-averaged data for fix dump_temperature
# TimeStep c_calc_temperature
39700 0.676921
39800 0.672581
39900 0.674373
40000 0.671467
40100 0.660237
40200 0.662687
40300 0.67493
40400 0.67518
40500 0.673858
40600 0.6701
40700 0.6665
40800 0.675048
40900 0.679772
41000 0.67884
41100 0.671604
41200 0.673876
41300 0.672976
41400 0.670186
41500 0.679154
41600 0.692335
41700 0.69476
41800 0.691597
41900 0.689646
42000 0.681457
42100 0.681113
42200 0.68686
42300 0.681263
42400 0.671196
42500 0.664601
42600 0.666678
42700 0.686014
42800 0.690158
42900 0.688834
43000 0.691418
43100 0.689005
43200 0.681696
43300 0.678125
43400 0.674109
43500 0.666995
43600 0.670944
43700 0.685249
43800 0.691886
43900 0.688961
44000 0.687487
44100 0.68387
44200 0.676152
44300 0.663074
44400 0.651652
44500 0.649951
44600 0.661704
44700 0.670944
44800 0.67868
44900 0.68952
45000 0.690365
45100 0.691899
45200 0.695543
45300 0.691602
45400 0.687451
45500 0.688484
45600 0.695424
45700 0.685599
45800 0.671248
45900 0.6669
46000 0.663183
46100 0.659835
46200 0.664833
46300 0.665161
46400 0.657739
46500 0.661517
46600 0.669363
46700 0.666205
46800 0.66512
46900 0.655746
47000 0.651247
47100 0.66085
47200 0.673265
47300 0.674677
47400 0.672438
47500 0.670532
47600 0.686986
47700 0.690805
47800 0.668638
47900 0.663927
48000 0.667264
48100 0.674223
48200 0.671078
48300 0.655986
48400 0.649954
48500 0.65714
48600 0.670622
48700 0.670093
48800 0.662131
48900 0.654138
49000 0.653111
49100 0.660003
49200 0.662404
49300 0.664271
49400 0.667439
49500 0.666266
49600 0.66983
49700 0.673104
49800 0.676943
49900 0.687084
50000 0.691743
50100 0.685178
50200 0.68399
50300 0.684572
50400 0.678507
50500 0.672835
50600 0.67172
50700 0.676565
50800 0.671426
50900 0.668681
51000 0.659327
51100 0.65093
51200 0.652106
51300 0.646403
51400 0.648694
51500 0.663228
51600 0.677951
51700 0.697603
51800 0.702972
51900 0.704398
52000 0.698654
52100 0.684163
52200 0.680801
52300 0.679632
52400 0.679147
52500 0.679008
52600 0.674747
52700 0.679512
52800 0.688682
52900 0.695218
53000 0.698748
53100 0.700549
53200 0.700145
53300 0.694196
53400 0.681548
53500 0.676828
53600 0.681202
53700 0.670715
53800 0.661426
53900 0.664256
54000 0.664695
54100 0.661694
54200 0.666498
54300 0.683894
54400 0.682942
54500 0.672896
54600 0.675783
54700 0.684413
54800 0.688207
54900 0.682037
55000 0.674154
55100 0.66502
55200 0.670863
55300 0.680095
55400 0.683738
55500 0.683189
55600 0.672474
55700 0.656815
55800 0.658078
55900 0.666672
56000 0.672269
56100 0.676789
56200 0.677245
56300 0.674981
56400 0.677803
56500 0.675709
56600 0.671381
56700 0.675529
56800 0.676123
56900 0.669409
57000 0.670734
57100 0.671577
57200 0.668593
57300 0.669272
57400 0.675586
57500 0.668078
57600 0.661391
57700 0.663552
57800 0.658205
57900 0.661812
58000 0.666082
58100 0.661948
58200 0.661489
58300 0.660364
58400 0.67246
58500 0.67834
58600 0.671108
58700 0.672265
58800 0.675886
58900 0.67162
59000 0.665748
59100 0.661708
59200 0.661919
59300 0.659025
59400 0.662187
59500 0.674389
59600 0.674205
59700 0.665559
59800 0.65655
59900 0.655166
60000 0.665664
60100 0.670733
60200 0.677774
60300 0.680976
60400 0.673847
60500 0.672922
60600 0.677209
60700 0.677474
60800 0.668502
60900 0.665822
61000 0.677964
61100 0.677305
61200 0.682123
