# Time-averaged data for fix dump_rdf_11
# TimeStep Number-of-rows
# Row c_calc_rdf_11[1] c_calc_rdf_11[2] c_calc_rdf_11[3]
100000 500
1 0.00422535 0 0
2 0.0126761 0 0
3 0.0211268 0 0
4 0.0295775 0 0
5 0.0380282 0 0
6 0.0464789 0 0
7 0.0549296 0 0
8 0.0633803 0 0
9 0.071831 0 0
10 0.0802817 0 0
11 0.0887324 0 0
12 0.0971831 0 0
13 0.105634 0 0
14 0.114085 0 0
15 0.122535 0 0
16 0.130986 0 0
17 0.139437 0 0
18 0.147887 0 0
19 0.156338 0 0
20 0.164789 0 0
21 0.173239 0 0
22 0.18169 0 0
23 0.190141 0 0
24 0.198592 0 0
25 0.207042 0 0
26 0.215493 0 0
27 0.223944 0 0
28 0.232394 0 0
29 0.240845 0 0
30 0.249296 0 0
31 0.257746 0 0
32 0.266197 0 0
33 0.274648 0 0
34 0.283099 0 0
35 0.291549 0 0
36 0.3 0 0
37 0.308451 0 0
38 0.316901 0 0
39 0.325352 0 0
40 0.333803 0 0
41 0.342254 0 0
42 0.350704 0 0
43 0.359155 0 0
44 0.367606 0 0
45 0.376056 0 0
46 0.384507 0 0
47 0.392958 0 0
48 0.401408 0 0
49 0.409859 0 0
50 0.41831 0 0
51 0.426761 0 0
52 0.435211 0 0
53 0.443662 0 0
54 0.452113 0 0
55 0.460563 0 0
56 0.469014 0 0
57 0.477465 0 0
58 0.485915 0 0
59 0.494366 0 0
60 0.502817 0 0
61 0.511268 0 0
62 0.519718 0 0
63 0.528169 0 0
64 0.53662 0 0
65 0.54507 0 0
66 0.553521 0 0
67 0.561972 0 0
68 0.570423 0 0
69 0.578873 0 0
70 0.587324 0 0
71 0.595775 0 0
72 0.604225 0 0
73 0.612676 0 0
74 0.621127 0 0
75 0.629577 0 0
76 0.638028 0 0
77 0.646479 0 0
78 0.65493 0 0
79 0.66338 0 0
80 0.671831 0 0
81 0.680282 0 0
82 0.688732 0 0
83 0.697183 0 0
84 0.705634 0 0
85 0.714085 0 0
86 0.722535 0 0
87 0.730986 0 0
88 0.739437 0 0
89 0.747887 0 0
90 0.756338 0 0
91 0.764789 0 0
92 0.773239 0 0
93 0.78169 0 0
94 0.790141 0 0
95 0.798592 0 0
96 0.807042 0 0
97 0.815493 0 0
98 0.823944 0 0
99 0.832394 7.55975e-05 3.0303e-06
100 0.840845 0.000296342 1.51515e-05
101 0.849296 0.000774599 4.74747e-05
102 0.857746 0.0018036 0.000124242
103 0.866197 0.00357207 0.000279293
104 0.874648 0.00760016 0.000615657
105 0.883099 0.0143623 0.00126364
106 0.891549 0.0287757 0.00258687
107 0.9 0.0514316 0.00499697
108 0.908451 0.0843189 0.00902273
109 0.916901 0.139874 0.0158258
110 0.925352 0.204121 0.0259374
111 0.933803 0.284781 0.0403035
112 0.942254 0.384888 0.0600727
113 0.950704 0.490755 0.0857338
114 0.959155 0.627922 0.119154
115 0.967606 0.779143 0.161356
116 0.976056 0.927282 0.212463
117 0.984507 1.09889 0.274081
118 0.992958 1.2788 0.347024
119 1.00141 1.42492 0.429691
120 1.00986 1.60259 0.524242
121 1.01831 1.72683 0.627834
122 1.02676 1.87478 0.742177
123 1.03521 2.00454 0.866454
124 1.04366 2.12799 1.00055
125 1.05211 2.24613 1.14439
126 1.06056 2.33043 1.29603
127 1.06901 2.40024 1.45472
128 1.07746 2.44354 1.61883
129 1.08592 2.44193 1.78542
130 1.09437 2.41642 1.95284
131 1.10282 2.35966 2.11887
132 1.11127 2.26123 2.28042
133 1.11972 2.15549 2.43676
134 1.12817 2.02769 2.58606
135 1.13662 1.87027 2.72585
136 1.14507 1.71057 2.8556
137 1.15352 1.59276 2.97821
138 1.16197 1.46843 3.09291
139 1.17042 1.33789 3.19894
140 1.17887 1.24233 3.29882
141 1.18732 1.1596 3.39339
142 1.19577 1.10334 3.48466
143 1.20423 1.02917 3.57101
144 1.21268 0.96928 3.65347
145 1.22113 0.918529 3.73271
146 1.22958 0.879471 3.80963
147 1.23803 0.855545 3.88549
148 1.24648 0.833667 3.96042
149 1.25493 0.827012 4.03577
150 1.26338 0.807431 4.11033
151 1.27183 0.802155 4.18539
152 1.28028 0.782845 4.25963
153 1.28873 0.779082 4.33448
154 1.29718 0.787631 4.41116
155 1.30563 0.777699 4.48785
156 1.31408 0.778062 4.56558
157 1.32254 0.783184 4.64483
158 1.33099 0.784975 4.72528
159 1.33944 0.786984 4.80696
160 1.34789 0.793018 4.89031
161 1.35634 0.798542 4.9753
162 1.36479 0.804554 5.062
163 1.37324 0.818227 5.15126
164 1.38169 0.825233 5.2424
165 1.39014 0.842466 5.33659
166 1.39859 0.839903 5.43164
167 1.40704 0.857987 5.5299
168 1.41549 0.880974 5.63202
169 1.42394 0.88155 5.73543
170 1.43239 0.885037 5.84048
171 1.44085 0.889219 5.94728
172 1.4493 0.889482 6.05536
173 1.45775 0.903269 6.16641
174 1.4662 0.901244 6.27849
175 1.47465 0.907725 6.39269
176 1.4831 0.917033 6.50938
177 1.49155 0.927265 6.62872
178 1.5 0.931078 6.74992
179 1.50845 0.932024 6.87261
180 1.5169 0.934234 6.99697
181 1.52535 0.948555 7.12465
182 1.5338 0.945702 7.25336
183 1.54225 0.956408 7.38496
184 1.5507 0.969854 7.51989
185 1.55915 0.978294 7.65747
186 1.56761 0.975904 7.79621
187 1.57606 0.991548 7.93869
188 1.58451 1.00444 8.08459
189 1.59296 1.00565 8.23222
190 1.60141 1.00859 8.38185
191 1.60986 1.01024 8.53332
192 1.61831 1.01904 8.68771
193 1.62676 1.01824 8.8436
194 1.63521 1.02041 9.00145
195 1.64366 1.0457 9.16489
196 1.65211 1.04937 9.33059
197 1.66056 1.05271 9.49852
198 1.66901 1.04923 9.66761
199 1.67746 1.0504 9.8386
200 1.68592 1.06331 10.0134
201 1.69437 1.07475 10.1919
202 1.70282 1.08692 10.3743
203 1.71127 1.07216 10.5559
204 1.71972 1.06891 10.7388
205 1.72817 1.07022 10.9237
206 1.73662 1.07023 11.1104
207 1.74507 1.07146 11.2992
208 1.75352 1.07362 11.4902
209 1.76197 1.08326 11.6847
210 1.77042 1.08624 11.8817
211 1.77887 1.07777 12.079
212 1.78732 1.06951 12.2767
213 1.79577 1.08003 12.4782
214 1.80423 1.08361 12.6822
215 1.81268 1.08296 12.8881
216 1.82113 1.07265 13.0939
217 1.82958 1.07232 13.3015
218 1.83803 1.06857 13.5104
219 1.84648 1.08113 13.7236
220 1.85493 1.07097 13.9368
221 1.86338 1.06694 14.1511
222 1.87183 1.05602 14.3652
223 1.88028 1.04821 14.5796
224 1.88873 1.05703 14.7977
225 1.89718 1.05618 15.0177
226 1.90563 1.0601 15.2404
227 1.91408 1.06628 15.4664
228 1.92254 1.06411 15.6939
229 1.93099 1.06074 15.9227
230 1.93944 1.05531 16.1524
231 1.94789 1.06298 16.3857
232 1.95634 1.05188 16.6186
233 1.96479 1.05133 16.8534
234 1.97324 1.04301 17.0883
235 1.98169 1.04954 17.3268
236 1.99014 1.04438 17.5661
237 1.99859 1.04032 17.8065
238 2.00704 1.02623 18.0456
239 2.01549 1.01251 18.2836
240 2.02394 1.0052 18.5218
241 2.03239 0.996958 18.76
242 2.04085 0.985381 18.9975
243 2.0493 0.978128 19.2351
244 2.05775 0.97364 19.4736
245 2.0662 0.976806 19.7149
246 2.07465 0.972682 19.9571
247 2.0831 0.961146 20.1983
248 2.09155 0.95123 20.4391
249 2.1 0.950116 20.6815
250 2.10845 0.947566 20.9252
251 2.1169 0.94251 21.1695
252 2.12535 0.936504 21.4142
253 2.1338 0.935704 21.6607
254 2.14225 0.940761 21.9105
255 2.1507 0.942128 22.1626
256 2.15915 0.933803 22.4144
257 2.16761 0.935303 22.6687
258 2.17606 0.926472 22.9225
259 2.18451 0.917472 23.1758
260 2.19296 0.915215 23.4304
261 2.20141 0.913543 23.6865
262 2.20986 0.915091 23.945
263 2.21831 0.919486 24.2068
264 2.22676 0.911806 24.4684
265 2.23521 0.914321 24.7326
266 2.24366 0.918267 25.0001
267 2.25211 0.92606 25.2718
268 2.26056 0.929092 25.5465
269 2.26901 0.925442 25.8221
270 2.27746 0.924846 26.0996
271 2.28592 0.924488 26.3791
272 2.29437 0.934173 26.6636
273 2.30282 0.937144 26.9511
274 2.31127 0.937529 27.2408
275 2.31972 0.944128 27.5347
276 2.32817 0.949172 27.8324
277 2.33662 0.957413 28.1348
278 2.34507 0.964546 28.4416
279 2.35352 0.968483 28.752
280 2.36197 0.972299 29.0658
281 2.37042 0.970659 29.3813
282 2.37887 0.975146 29.7006
283 2.38732 0.984495 30.0252
284 2.39577 0.988749 30.3535
285 2.40423 0.992178 30.6853
286 2.41268 0.994527 31.0202
287 2.42113 1.00241 31.3601
288 2.42958 1.01204 31.7057
289 2.43803 1.01159 32.0536
290 2.44648 1.01772 32.406
291 2.45493 1.01838 32.761
292 2.46338 1.02363 33.1204
293 2.47183 1.03063 33.4847
294 2.48028 1.03368 33.8526
295 2.48873 1.03519 34.2235
296 2.49718 1.0419 34.5994
297 2.50563 1.03284 34.9745
298 2.51408 1.03535 35.3531
299 2.52254 1.0382 35.7353
300 2.53099 1.03754 36.1198
301 2.53944 1.04014 36.5078
302 2.54789 1.03663 36.8972
303 2.55634 1.04017 37.2904
304 2.56479 1.04442 37.6879
305 2.57324 1.04197 38.087
306 2.58169 1.0372 38.4869
307 2.59014 1.03979 38.8905
308 2.59859 1.04655 39.2993
309 2.60704 1.0455 39.7104
310 2.61549 1.04846 40.1254
311 2.62394 1.04683 40.5423
312 2.63239 1.05363 40.9647
313 2.64085 1.0555 41.3906
314 2.6493 1.04981 41.8168
315 2.65775 1.05382 42.2475
316 2.6662 1.05007 42.6793
317 2.67465 1.04692 43.1126
318 2.6831 1.04558 43.548
319 2.69155 1.04569 43.9863
320 2.7 1.04498 44.427
321 2.70845 1.04432 44.8702
322 2.7169 1.04182 45.3151
323 2.72535 1.03849 45.7613
324 2.7338 1.03302 46.208
325 2.74225 1.03007 46.6561
326 2.7507 1.03084 47.1073
327 2.75915 1.02949 47.5607
328 2.76761 1.02671 48.0157
329 2.77606 1.02271 48.4716
330 2.78451 1.02672 48.9322
331 2.79296 1.02664 49.3955
332 2.80141 1.02238 49.8597
333 2.80986 1.02142 50.3262
334 2.81831 1.01737 50.7937
335 2.82676 1.00835 51.2598
336 2.83521 1.0066 51.7279
337 2.84366 1.00575 52.1984
338 2.85211 1.00806 52.6728
339 2.86056 1.00337 53.1478
340 2.86901 0.996008 53.6221
341 2.87746 0.991647 54.0971
342 2.88592 0.988207 54.5732
343 2.89437 0.984693 55.0505
344 2.90282 0.98367 55.53
345 2.91127 0.984057 56.0125
346 2.91972 0.990588 56.501
347 2.92817 0.985556 56.9899
348 2.93662 0.989846 57.4837
349 2.94507 0.986573 57.9788
350 2.95352 0.984852 58.4758
351 2.96197 0.981258 58.9738
352 2.97042 0.982757 59.4755
353 2.97887 0.977577 59.9773
354 2.98732 0.976256 60.4813
355 2.99577 0.976123 60.9881
356 3.00423 0.979472 61.4995
357 3.01268 0.97778 62.013
358 3.02113 0.968276 62.5242
359 3.02958 0.959445 63.0337
360 3.03803 0.966144 63.5496
361 3.04648 0.970167 64.0705
362 3.05493 0.970656 64.5945
363 3.06338 0.973787 65.1232
364 3.07183 0.976068 65.656
365 3.08028 0.979225 66.1935
366 3.08873 0.976611 66.7325
367 3.09718 0.979113 67.2759
368 3.10563 0.977539 67.8213
369 3.11408 0.9751 68.3684
370 3.12254 0.971104 68.9162
371 3.13099 0.977335 69.4704
372 3.13944 0.978232 70.0282
373 3.14789 0.978161 70.589
374 3.15634 0.981296 71.1545
375 3.16479 0.984041 71.7247
376 3.17324 0.98412 72.298
377 3.18169 0.978605 72.8711
378 3.19014 0.98444 73.4507
379 3.19859 0.991238 74.0374
380 3.20704 0.991972 74.6276
381 3.21549 0.986883 75.2179
382 3.22394 0.987635 75.8118
383 3.23239 0.990996 76.4108
384 3.24085 0.99305 77.0142
385 3.2493 0.997871 77.6237
386 3.25775 0.997795 78.2363
387 3.2662 0.999786 78.8534
388 3.27465 1.00305 79.4756
389 3.2831 1.00095 80.0998
390 3.29155 1.00692 80.7309
391 3.3 1.00519 81.3642
392 3.30845 1.00603 82.0012
393 3.3169 1.0096 82.6438
394 3.32535 1.011 83.2906
395 3.3338 1.00893 83.9393
396 3.34225 1.01102 84.5927
397 3.3507 1.01344 85.2509
398 3.35915 1.01522 85.9136
399 3.36761 1.01839 86.5818
400 3.37606 1.01679 87.2522
401 3.38451 1.02004 87.9282
402 3.39296 1.02013 88.6076
403 3.40141 1.01572 89.2875
404 3.40986 1.01914 89.973
405 3.41831 1.01705 90.6605
406 3.42676 1.01716 91.3515
407 3.43521 1.02385 92.0505
408 3.44366 1.02275 92.7521
409 3.45211 1.01881 93.4545
410 3.46056 1.02071 94.1617
411 3.46901 1.02352 94.8742
412 3.47746 1.02157 95.5889
