# Time-averaged data for fix dump_temperature
# TimeStep c_calc_temperature
39800 0.519338
39900 0.525503
40000 0.547172
40100 0.535625
40200 0.535262
40300 0.536931
40400 0.540049
40500 0.517333
40600 0.504388
40700 0.521271
40800 0.510784
40900 0.522239
41000 0.527716
41100 0.493428
41200 0.506955
41300 0.52145
41400 0.535672
41500 0.528908
41600 0.493418
41700 0.516624
41800 0.517245
41900 0.531311
42000 0.520546
42100 0.543581
42200 0.534884
42300 0.532177
42400 0.514978
42500 0.530622
42600 0.52554
42700 0.539745
42800 0.548768
42900 0.523457
43000 0.528722
43100 0.50356
43200 0.500012
43300 0.512432
43400 0.529994
43500 0.488332
43600 0.52488
43700 0.541134
43800 0.503852
43900 0.543291
44000 0.508828
44100 0.559667
44200 0.534795
44300 0.508454
44400 0.529812
44500 0.510741
44600 0.532484
44700 0.515239
44800 0.529516
44900 0.541224
45000 0.536145
45100 0.582293
45200 0.525531
45300 0.564257
45400 0.532395
45500 0.538105
45600 0.547068
45700 0.522672
45800 0.51982
45900 0.538202
46000 0.504118
46100 0.513006
46200 0.548306
46300 0.517001
46400 0.55364
46500 0.528404
46600 0.517226
46700 0.522006
46800 0.534517
46900 0.541382
47000 0.528191
47100 0.523212
47200 0.52383
47300 0.52679
47400 0.516089
47500 0.536183
47600 0.533275
47700 0.52382
47800 0.504306
47900 0.535319
48000 0.485323
48100 0.545042
48200 0.522845
48300 0.54861
48400 0.528007
48500 0.540398
48600 0.516598
48700 0.549884
48800 0.525955
48900 0.515514
49000 0.507289
49100 0.519869
49200 0.509318
49300 0.536585
49400 0.51111
49500 0.502782
49600 0.509136
49700 0.503643
49800 0.539428
49900 0.519182
50000 0.50466
50100 0.538527
50200 0.553271
50300 0.543522
50400 0.529933
50500 0.538292
50600 0.521733
50700 0.55577
50800 0.543981
50900 0.544897
51000 0.534724
51100 0.54805
51200 0.537966
51300 0.503114
51400 0.515905
51500 0.529115
51600 0.527498
51700 0.531588
51800 0.558303
51900 0.513283
52000 0.498002
52100 0.516673
52200 0.511618
52300 0.517997
52400 0.518196
52500 0.535058
52600 0.502883
52700 0.560881
52800 0.534602
52900 0.553847
53000 0.516329
53100 0.54895
53200 0.53155
53300 0.516858
53400 0.509112
53500 0.516033
53600 0.521036
53700 0.532361
53800 0.530015
53900 0.519959
54000 0.533244
54100 0.523203
54200 0.518147
54300 0.535623
54400 0.552386
54500 0.514752
54600 0.548484
54700 0.536146
54800 0.53114
54900 0.531927
55000 0.53569
55100 0.536423
55200 0.528529
55300 0.511616
55400 0.524888
55500 0.541972
55600 0.537427
55700 0.547261
55800 0.544817
55900 0.50381
56000 0.519106
56100 0.528306
56200 0.548313
56300 0.53366
56400 0.530442
56500 0.54565
56600 0.542081
56700 0.518424
56800 0.529743
56900 0.50777
57000 0.524347
57100 0.498756
57200 0.524595
57300 0.507397
57400 0.516267
57500 0.50669
57600 0.529637
57700 0.531016
57800 0.551792
57900 0.531468
58000 0.557754
58100 0.528951
58200 0.515951
58300 0.526082
58400 0.537367
58500 0.518891
58600 0.578481
58700 0.561751
58800 0.548725
58900 0.548364
59000 0.550938
59100 0.529013
59200 0.539405
59300 0.550494
59400 0.548813
59500 0.54711
59600 0.557741
59700 0.532371
59800 0.506822
59900 0.544759
60000 0.541848
60100 0.544441
60200 0.530099
60300 0.526762
60400 0.5688
60500 0.538054
60600 0.529221
60700 0.510524
60800 0.535236
60900 0.526912
61000 0.556806
61100 0.537763
61200 0.556609
61300 0.536554
61400 0.546623
61500 0.516137
61600 0.542809
61700 0.546054
61800 0.519265
61900 0.532871
62000 0.507218
62100 0.527763
62200 0.530419
62300 0.520939
62400 0.529461
62500 0.518209
62600 0.548316
62700 0.541406
62800 0.517062
62900 0.559954
63000 0.559541
63100 0.5454
63200 0.536982
63300 0.502904
63400 0.524558
63500 0.546112
63600 0.559063
63700 0.525194
63800 0.564674
63900 0.548396
64000 0.535993
64100 0.530519
64200 0.524231
64300 0.51635
64400 0.557445
64500 0.543663
64600 0.522145
64700 0.52378
64800 0.545762
64900 0.55277
65000 0.524094
65100 0.528737
65200 0.516867
65300 0.525456
65400 0.538773
65500 0.541918
65600 0.524335
65700 0.530902
65800 0.502673
65900 0.524369
66000 0.520203
66100 0.51297
66200 0.508559
66300 0.510536
66400 0.514015
66500 0.513786
66600 0.520666
66700 0.514382
66800 0.511204
66900 0.53708
67000 0.523526
67100 0.537407
67200 0.528251
67300 0.505044
67400 0.520332
67500 0.516473
67600 0.531859
67700 0.525149
67800 0.543371
67900 0.531466
68000 0.518872
68100 0.536704
68200 0.535687
68300 0.527574
68400 0.530498
68500 0.539782
68600 0.52772
68700 0.55191
68800 0.533126
68900 0.544503
69000 0.535474
69100 0.538452
69200 0.513814
69300 0.553516
69400 0.550845
69500 0.545216
69600 0.528501
69700 0.545699
69800 0.518719
69900 0.545297
70000 0.519589
70100 0.544691
70200 0.527414
70300 0.53
70400 0.522594
70500 0.533333
70600 0.538118
70700 0.533351
70800 0.526382
70900 0.552388
71000 0.515601
71100 0.531158
71200 0.53303
71300 0.522537
71400 0.519676
71500 0.533692
71600 0.528119
71700 0.515373
71800 0.505615
71900 0.518484
72000 0.510236
72100 0.527288
72200 0.52409
72300 0.546604
72400 0.521893
72500 0.529721
72600 0.508079
72700 0.500345
72800 0.51859
72900 0.551058
73000 0.520422
73100 0.532571
73200 0.501471
73300 0.500707
73400 0.513191
73500 0.538044
73600 0.488257
73700 0.540532
73800 0.508933
73900 0.503517
74000 0.510793
74100 0.507881
74200 0.525009
74300 0.522543
74400 0.517909
74500 0.528818
74600 0.514869
74700 0.515035
74800 0.508396
74900 0.503255
75000 0.520187
75100 0.518866
75200 0.534427
75300 0.520839
75400 0.500278
75500 0.522334
75600 0.537225
75700 0.497895
75800 0.509344
75900 0.511575
76000 0.522951
76100 0.521414
76200 0.529915
76300 0.532568
76400 0.542406
76500 0.538274
76600 0.512293
76700 0.509359
76800 0.523305
76900 0.529974
77000 0.528851
77100 0.544676
77200 0.521191
77300 0.529139
77400 0.529221
77500 0.487287
77600 0.526894
77700 0.522454
77800 0.532808
77900 0.531164
78000 0.510178
78100 0.535057
78200 0.507068
78300 0.522066
78400 0.53552
78500 0.520172
78600 0.506686
78700 0.513574
78800 0.536627
78900 0.530551
79000 0.549073
79100 0.494444
79200 0.536023
79300 0.505171
79400 0.521427
79500 0.552631
79600 0.539642
79700 0.515339
79800 0.547061
79900 0.539157
80000 0.514239
80100 0.513743
80200 0.524612
80300 0.52226
80400 0.525107
80500 0.483426
80600 0.513058
80700 0.516268
80800 0.515751
80900 0.516219
81000 0.514198
81100 0.50114
81200 0.537165
81300 0.512792
81400 0.521361
81500 0.522076
81600 0.499918
81700 0.566594
81800 0.521571
81900 0.541617
82000 0.537454
82100 0.528674
82200 0.538767
82300 0.504186
82400 0.539683
82500 0.511945
82600 0.524473
82700 0.52444
82800 0.507871
82900 0.51606
83000 0.525328
83100 0.507643
83200 0.503566
83300 0.51636
83400 0.531165
83500 0.540428
83600 0.510056
83700 0.53327
83800 0.505841
83900 0.490614
84000 0.516573
84100 0.501839
84200 0.509977
84300 0.515767
84400 0.530701
