# Time-averaged data for fix dump_momentum
# TimeStep c_calc_momentum[1] c_calc_momentum[2] c_calc_momentum[3]
10900 -1.65645e-13 1.15019e-13 -1.36779e-13
11000 -1.6076e-13 1.07025e-13 -1.3145e-13
11100 -1.81188e-13 7.28306e-14 -1.06137e-13
11200 -1.74083e-13 4.21885e-14 -1.13687e-13
11300 -1.91847e-13 3.41949e-14 -1.2168e-13
11400 -1.88294e-13 4.08562e-14 -1.3145e-13
11500 -2.06057e-13 2.73115e-14 -1.35891e-13
11600 -2.11386e-13 3.10862e-14 -1.38556e-13
11700 -2.18492e-13 2.44249e-14 -1.40776e-13
11800 -2.18048e-13 5.32907e-15 -1.45661e-13
11900 -2.10498e-13 -5.32907e-15 -1.44773e-13
12000 -2.14495e-13 -7.99361e-15 -1.64313e-13
12100 -2.11386e-13 -2.66454e-14 -1.58096e-13
12200 -2.25597e-13 -3.37508e-14 -1.42109e-13
12300 -2.20268e-13 -2.57572e-14 -1.45661e-13
12400 -1.93623e-13 1.28786e-14 -1.46549e-13
12500 -2.01617e-13 1.06581e-14 -1.10134e-13
12600 -1.803e-13 7.10543e-15 -1.35891e-13
12700 -1.88294e-13 -7.10543e-15 -1.26121e-13
12800 -1.87406e-13 -1.42109e-14 -1.24345e-13
12900 -1.75859e-13 -1.26565e-14 -1.27898e-13
13000 -1.89182e-13 -1.46549e-14 -1.36779e-13
13100 -1.73639e-13 -3.10862e-14 -1.33227e-13
13200 -1.803e-13 -3.4639e-14 -1.50102e-13
13300 -1.93623e-13 -4.52971e-14 -1.48326e-13
13400 -1.7053e-13 -4.26326e-14 -1.49214e-13
13500 -1.96732e-13 -3.77476e-14 -1.34115e-13
13600 -1.9984e-13 -3.55271e-14 -1.62537e-13
13700 -1.99396e-13 -1.24345e-14 -1.42109e-13
13800 -1.82077e-13 -1.77636e-14 -1.35891e-13
13900 -1.72307e-13 -1.95399e-14 -1.51879e-13
14000 -1.85185e-13 -2.30926e-14 -1.64757e-13
14100 -1.90958e-13 -4.08562e-14 -1.66978e-13
14200 -1.75859e-13 -4.9738e-14 -1.74971e-13
14300 -1.82965e-13 -5.24025e-14 -1.67866e-13
14400 -1.9007e-13 -5.32907e-14 -1.75415e-13
14500 -1.90958e-13 -5.9952e-14 -1.66089e-13
14600 -1.75859e-13 -8.77076e-14 -1.25677e-13
14700 -1.82077e-13 -9.79217e-14 -1.23457e-13
14800 -1.57208e-13 -1.04805e-13 -9.63674e-14
14900 -1.52767e-13 -9.32587e-14 -1.08358e-13
15000 -1.67866e-13 -7.19425e-14 -1.19016e-13
15100 -1.81188e-13 -8.61533e-14 -8.4821e-14
15200 -1.88294e-13 -7.72715e-14 -9.9476e-14
15300 -1.73195e-13 -5.68434e-14 -1.11466e-13
15400 -1.73195e-13 -7.10543e-14 -1.02585e-13
15500 -1.59872e-13 -4.79616e-14 -1.04805e-13
15600 -1.92735e-13 -3.55271e-14 -1.10134e-13
15700 -1.83853e-13 -5.24025e-14 -9.59233e-14
15800 -1.86962e-13 -5.68434e-14 -1.06581e-13
15900 -1.79412e-13 -5.86198e-14 -1.01252e-13
16000 -1.76748e-13 -5.9508e-14 -1.06581e-13
16100 -1.73195e-13 -5.79536e-14 -9.01501e-14
16200 -1.77636e-13 -4.57412e-14 -8.52651e-14
16300 -2.00284e-13 -2.42029e-14 -9.23706e-14
16400 -1.98952e-13 -2.95319e-14 -1.2168e-13
16500 -1.97842e-13 -1.13243e-14 -1.03029e-13
16600 -1.9984e-13 -1.57652e-14 -1.15463e-13
16700 -1.85629e-13 -3.43614e-14 -1.0747e-13
16800 -1.83853e-13 -3.73035e-14 -9.9476e-14
16900 -1.94511e-13 -2.26485e-14 -8.9706e-14
17000 -1.98952e-13 -3.33067e-14 -8.88178e-14
17100 -1.97176e-13 -1.42109e-14 -8.9484e-14
17200 -1.97176e-13 -2.57572e-14 -6.66134e-14
17300 -2.05169e-13 -1.64313e-14 -5.41789e-14
17400 -2.02505e-13 -1.44329e-14 -7.54952e-14
17500 -2.30926e-13 -2.04281e-14 -6.92779e-14
17600 -2.30926e-13 -5.32907e-14 -7.90479e-14
17700 -1.98064e-13 -5.24025e-14 -9.01501e-14
17800 -2.06057e-13 -4.4853e-14 -7.63833e-14
17900 -2.27374e-13 -3.77476e-14 -5.77316e-14
18000 -2.50466e-13 -5.15143e-14 -7.68274e-14
18100 -2.64677e-13 -4.17444e-14 -4.9738e-14
18200 -2.73559e-13 -6.39488e-14 -5.88418e-14
18300 -2.61124e-13 -5.68434e-14 -7.41629e-14
18400 -2.84217e-13 -4.79616e-14 -7.63833e-14
18500 -2.63789e-13 -5.06262e-14 -9.14824e-14
18600 -2.75335e-13 -6.26166e-14 -7.99361e-14
18700 -2.80664e-13 -6.66134e-14 -6.90559e-14
18800 -2.80664e-13 -7.28306e-14 -6.12843e-14
18900 -2.6934e-13 -8.52651e-14 -5.55112e-14
19000 -2.61124e-13 -6.92779e-14 -4.9738e-14
19100 -2.53575e-13 -9.59233e-14 -5.86198e-14
19200 -2.43361e-13 -9.41469e-14 -7.10543e-14
19300 -2.39364e-13 -1.08358e-13 -7.86038e-14
19400 -2.52687e-13 -1.06581e-13 -9.99201e-14
19500 -2.65565e-13 -8.17124e-14 -1.02141e-13
19600 -2.67342e-13 -1.10134e-13 -9.85878e-14
19700 -2.96874e-13 -1.10134e-13 -1.0747e-13
19800 -2.89546e-13 -1.13687e-13 -1.1724e-13
