# Time-averaged data for fix dump_ke
# TimeStep c_calc_ke c_calc_pe
24500 404.743 -2653.44
24600 401.774 -2650.47
24700 395.057 -2643.76
24800 392.608 -2641.31
24900 389.768 -2638.47
25000 398.64 -2647.34
25100 398.077 -2646.78
25200 394.896 -2643.6
25300 373.855 -2622.55
25400 394.598 -2643.29
25500 403.486 -2652.19
25600 395.24 -2643.93
25700 411.941 -2660.65
25800 400.658 -2649.35
25900 411.567 -2660.28
26000 403.174 -2651.87
26100 404.699 -2653.39
26200 388.908 -2637.6
26300 393.001 -2641.7
26400 412.406 -2661.11
26500 409.602 -2658.3
26600 390.751 -2639.45
26700 394.089 -2642.78
26800 387.046 -2635.74
26900 389.649 -2638.34
27000 405.426 -2654.13
27100 369.317 -2618
27200 391.568 -2640.26
27300 401.974 -2650.68
27400 390.256 -2638.95
27500 406.724 -2655.42
27600 391.417 -2640.12
27700 399.575 -2648.27
27800 403.898 -2652.59
27900 390.262 -2638.96
28000 395.402 -2644.1
28100 395.998 -2644.69
28200 397.637 -2646.34
28300 403.961 -2652.66
28400 405.704 -2654.41
28500 419.093 -2667.79
28600 394.045 -2642.75
28700 395.925 -2644.62
28800 405.859 -2654.56
28900 394.899 -2643.6
29000 371.388 -2620.08
29100 401.718 -2650.41
29200 377.477 -2626.17
29300 389.949 -2638.64
29400 407.825 -2656.53
29500 392.271 -2640.97
29600 414.382 -2663.08
29700 387.297 -2636
29800 389.592 -2638.28
29900 398.107 -2646.82
30000 386.44 -2635.14
30100 397.998 -2646.69
30200 403.699 -2652.39
30300 380.407 -2629.1
30400 382.416 -2631.11
30500 417.693 -2666.4
30600 417.203 -2665.92
30700 392.801 -2641.49
30800 395.198 -2643.9
30900 381.574 -2630.27
31000 410.188 -2658.89
31100 389.081 -2637.78
31200 389.959 -2638.66
31300 393.873 -2642.57
31400 398.773 -2647.47
31500 405.05 -2653.76
31600 370.356 -2619.06
31700 400.697 -2649.41
31800 402.614 -2651.31
31900 399.901 -2648.61
32000 392.501 -2641.21
32100 401.009 -2649.7
32200 405.491 -2654.19
32300 386.996 -2635.69
32400 387.266 -2635.96
32500 382.896 -2631.58
32600 409.528 -2658.23
32700 389.366 -2638.06
32800 384.394 -2633.09
32900 397.087 -2645.78
33000 400.598 -2649.3
33100 371.831 -2620.53
33200 396.065 -2644.77
33300 393.471 -2642.16
33400 401.898 -2650.59
33500 382.166 -2630.87
33600 378.285 -2626.98
33700 403.632 -2652.34
33800 378.024 -2626.72
33900 392 -2640.7
34000 386.944 -2635.64
34100 396.738 -2645.43
34200 387.545 -2636.24
34300 407.188 -2655.88
