ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
1200
ITEM: BOX BOUNDS pp pp pp
-4.4919104223854296e+00 4.4919104223854296e+00
-4.4919104223854296e+00 4.4919104223854296e+00
-4.4919104223854296e+00 4.4919104223854296e+00
ITEM: ATOMS id type xs ys zs
1 1 0.0981859 0.119745 0.102932
712 2 0.0148055 0.00322526 0.0275198
673 2 0.0976801 0.0118646 0.215421
4 1 0.349175 0.344182 0.213143
490 2 0.225499 0.34972 0.488799
6 1 0.237359 0.257142 0.349454
452 2 0.491844 0.489757 0.322894
8 1 0.0674841 0.0185132 0.0878561
206 1 0.0213713 0.233285 0.392744
10 1 0.387699 0.270201 0.055
11 1 0.471601 0.00942649 0.423591
12 1 0.266644 0.489389 0.464909
13 1 0.050597 0.369129 0.269412
14 1 0.346351 0.245044 0.342086
15 1 0.0963236 0.400776 0.38102
606 2 0.439802 0.357308 0.491581
17 1 0.293942 0.345042 0.316187
18 1 0.106121 0.424538 0.191549
19 1 0.217723 0.152344 0.0385282
20 1 0.185061 0.420439 0.110181
199 1 0.0294818 0.213132 0.236617
22 1 0.117272 0.22876 0.0504468
23 1 0.0421553 0.338593 0.118707
24 1 0.176539 0.0685647 0.184655
497 2 0.496977 0.0985949 0.193993
496 2 0.362368 0.398295 0.231494
27 1 0.474858 0.188191 0.449231
499 2 0.237574 0.26327 0.288435
29 1 0.0544594 0.125473 0.476307
30 1 0.485603 0.1833 0.16873
31 1 0.138821 0.220547 0.28212
32 1 0.325831 0.202741 0.230678
33 1 0.285985 0.458002 0.299766
34 1 0.382884 0.127243 0.153204
35 1 0.354124 0.147294 0.395889
36 1 0.150238 0.335488 0.241693
37 1 0.235122 0.189705 0.447328
503 2 0.208671 0.354869 0.227777
39 1 0.230766 0.269559 0.225566
40 1 0.117599 0.215023 0.168025
41 1 0.134614 0.338089 0.0522849
42 1 0.144977 0.121895 0.404898
43 1 0.129829 0.265749 0.387856
44 1 0.193301 0.463806 0.374045
45 1 0.406216 0.262887 0.169577
46 1 0.416803 0.431043 0.465932
47 1 0.408075 0.0610958 0.327785
48 1 0.297816 0.0679626 0.240744
49 1 0.239157 0.261825 0.10869
50 1 0.250047 0.0661492 0.409449
51 1 0.0776517 0.450835 0.0536212
52 1 0.408767 0.0900606 0.481869
53 1 0.203091 0.324126 0.437782
491 2 0.0341105 0.310073 0.262917
398 2 0.426884 0.227017 0.456912
399 2 0.385445 0.100302 0.369459
400 2 0.41567 0.469981 0.26717
401 2 0.0258946 0.461982 0.255876
402 2 0.0799654 0.208763 0.2776
501 2 0.0551791 0.215845 0.182798
404 2 0.106024 0.37914 0.234747
405 2 0.437007 0.300614 0.0314382
406 2 0.250724 0.46612 0.350954
407 2 0.1392 0.164227 0.197874
692 2 0.118609 0.023899 0.12275
409 2 0.447714 0.132931 0.462529
494 2 0.27509 0.176013 0.0404152
411 2 0.308913 0.324784 0.259435
412 2 0.406571 0.247392 0.108607
413 2 0.144207 0.360878 0.390118
414 2 0.383879 0.106543 0.0460582
415 2 0.438488 0.151787 0.137863
416 2 0.293259 0.0840509 0.183723
417 2 0.0466463 0.394179 0.42054
418 2 0.101903 0.0520437 0.399675
